PROTEOME ; FUNANNOTATE ; ERROR FUNANNOTATE
ACOL01000155:1055-3649 ; contig53:1055-3649(+); OK
ACOL01000100:1797-4385 ; contig53:2352-4385(+); error - start (1797/2352)
ACOL01000025:c(10353-12929) ; contig54:10353-12929(-); OK
ACOL01000037:11077-13647 ; contig54:11731-13647(+); error - start (11077/11731)
ACOL01000003:13969-16524 ; contig54:13969-16524(+); OK
ACOL01000167:628-3180 ; contig52:628-3180(+); OK
ACOL01000164:c(1723-4272) ; contig53:1723-4272(-); OK
ACOL01000127:7035-9575 ; contig53:7035-9575(+); OK
ACOL01000037:424-2952 ; contig54:424-2952(+); OK
ACOL01000022:c(14547-17060) ; ND ; ND
ACOL01000116:1743-4253 ; ND ; ND
ACOL01000038:8248-10734 ; contig54:8248-10734(+); OK
ACOL01000007:c(23098-25578) ; contig54:23098-25578(-); OK
ACOL01000002:c(40019-42496) ; contig54:40019-42496(-); OK
ACOL01000161:1553-4018 ; contig53:2006-4018(+); error - start (1553/2006)
ACOL01000001:c(24971-27421) ; contig54:24971-27421(-); OK
ACOL01000114:c(3817-6264) ; contig53:3817-6264(-); OK
ACOL01000002:17518-19947 ; contig54:17518-19947(+); OK
ACOL01000068:2781-5207 ; contig53:2781-5207(+); OK
ACOL01000433:c(426-2852) ; ND ; ND
ACOL01000244:c(1540-3957) ; contig52:1540-3957(-); OK
ACOL01000072:10315-12717 ; contig53:10372-12717(+); error - start (10315/10372)
ACOL01000022:3929-6322 ; contig54:3929-6322(+); OK
ACOL01000083:c(4891-7257) ; contig53:4891-7257(-); OK
ACOL01000004:c(2819-5164) ; contig54:2819-5068(-); error - start (5164/5068)
ACOL01000002:c(46571-48913) ; contig54:46571-48382(-); error - start (48913/48382)
ACOL01000018:17297-19633 ; ND ; ND
ACOL01000064:2688-5024 ; contig54:2688-5024(+); OK
ACOL01000049:c(7803-10130) ; ND ; ND
ACOL01000124:c(825-3149) ; ND ; ND
ACOL01000072:4432-6753 ; contig53:4432-6753(+); OK
ACOL01000366:c(202-2523) ; contig51:202-2523(-); OK
ACOL01000377:c(43-2313) ; ND ; ND
ACOL01000263:1949-4207 ; ND ; ND
ACOL01000019:c(15668-17920) ; contig54:15668-17920(-); OK
ACOL01000097:c(5079-7331) ; contig53:5079-6692(-); error - start (7331/6692)
ACOL01000101:8463-10715 ; contig53:8601-10715(+); error - start (8463/8601)
ACOL01000091:c(3252-5495) ; ND ; ND
ACOL01000013:5284-7524 ; contig54:5308-7524(+); error - start (5284/5308)
ACOL01000085:c(3284-5521) ; contig53:3284-5287(-); error - start (5521/5287)
ACOL01000108:c(1136-3325) ; contig53:1136-2788(-); error - start (3325/2788)
ACOL01000139:4586-6775 ; contig53:4586-6775(+); OK
ACOL01000079:2311-4491 ; ND ; ND
ACOL01000021:c(15811-17982) ; ND ; ND
ACOL01000068:c(9157-11325) ; contig53:9157-11325(-); OK
ACOL01000072:c(1704-3869) ; contig53:1704-3359(-); error - start (3869/3359)
ACOL01000130:c(1913-4063) ; ND ; ND
ACOL01000008:16742-18871 ; contig54:16742-18871(+); OK
ACOL01000081:6116-8245 ; contig53:6116-8245(+); OK
ACOL01000304:c(894-3023) ; contig51:894-3023(-); OK
ACOL01000021:8547-10667 ; contig54:8547-10667(+); OK
ACOL01000539:349-2469 ; contig49:1003-2469(+); error - start (349/1003)
ACOL01000035:c(4542-6653) ; contig54:4542-6545(-); error - start (6653/6545)
ACOL01000120:800-2911 ; ND ; ND
ACOL01000047:c(7772-9874) ; contig54:7772-9874(-); OK
ACOL01000027:c(16059-18158) ; contig54:16059-18158(-); OK
ACOL01000042:6139-8235 ; contig54:6139-8235(+); OK
ACOL01000036:13941-16028 ; contig54:14364-16028(+); error - start (13941/14364)
ACOL01000107:5340-7427 ; contig53:5340-7427(+); OK
ACOL01000122:1551-3635 ; contig53:1551-3635(+); OK
ACOL01000085:6936-9017 ; contig53:6936-9017(+); OK
ACOL01000001:c(50068-52143) ; contig54:50068-52143(-); OK
ACOL01000169:5431-7506 ; contig52:5431-7506(+); OK
ACOL01000461:c(574-2649) ; contig50:574-1824(-); error - start (2649/1824)
ACOL01000011:c(25399-27471) ; contig54:25399-27471(-); OK
ACOL01000369:1306-3378 ; contig50:1306-3378(+); OK
ACOL01000022:1714-3774 ; contig54:1714-3774(+); OK
ACOL01000026:2381-4432 ; ND ; ND
ACOL01000021:c(6414-8462) ; contig54:6414-8462(-); OK
ACOL01000063:c(2101-4149) ; contig54:2101-4149(-); OK
ACOL01000107:7976-10015 ; contig53:7976-10015(+); OK
ACOL01000439:514-2550 ; contig50:514-2550(+); OK
ACOL01000071:1534-3567 ; contig53:1534-3567(+); OK
ACOL01000023:c(12554-14584) ; contig54:12554-14584(-); OK
ACOL01000018:c(12767-14794) ; contig54:12767-14794(-); OK
ACOL01000118:c(3537-5561) ; contig53:3537-5561(-); OK
ACOL01000071:c(5113-7131) ; ND ; ND
ACOL01000415:c(734-2746) ; contig50:734-2746(-); OK
ACOL01000308:c(927-2933) ; contig51:927-2933(-); OK
ACOL01000066:9843-11843 ; contig54:9843-11843(+); OK
ACOL01000154:1597-3594 ; contig53:1597-3594(+); OK
ACOL01000027:1484-3478 ; contig54:1484-3478(+); OK
ACOL01000106:4607-6595 ; ND ; ND
ACOL01000134:1722-3707 ; contig53:1722-3707(+); OK
ACOL01000450:420-2405 ; contig50:420-2405(+); OK
ACOL01000080:c(9966-11945) ; contig53:9966-11945(-); OK
ACOL01000027:8935-10908 ; contig54:9103-10908(+); error - start (8935/9103)
ACOL01000063:c(11689-13659) ; contig54:11689-13659(-); OK
ACOL01000079:5698-7662 ; ND ; ND
ACOL01000109:c(1466-3409) ; contig53:2039-3409(-); error - end (1466/2039)
ACOL01000092:c(200-2140) ; contig53:200-2140(-); OK
ACOL01000015:c(10470-12407) ; contig54:11432-12407(-); error - end (10470/11432)
ACOL01000220:c(370-2307) ; ND ; ND
ACOL01000118:c(5674-7608) ; ND ; ND
ACOL01000180:5473-7407 ; contig52:5473-7407(+); OK
ACOL01000193:c(2469-4403) ; contig52:2469-4403(-); OK
ACOL01000043:15162-17093 ; ND ; ND
ACOL01000221:c(3608-5536) ; contig52:3608-5536(-); OK
ACOL01000010:218-2143 ; ND ; ND
ACOL01000061:6810-8735 ; contig54:7287-8735(+); error - start (6810/7287)
ACOL01000006:24303-26216 ; ND ; ND
ACOL01000047:c(3893-5797) ; contig54:3893-5797(-); OK
ACOL01000017:1286-3187 ; contig54:1286-3187(+); OK
ACOL01000264:2479-4380 ; contig52:2491-4380(+); error - start (2479/2491)
ACOL01000067:c(2792-4690) ; contig53:2792-4690(-); OK
ACOL01000154:c(6269-8149) ; contig53:6269-8149(-); OK
ACOL01000559:242-2122 ; contig49:242-2122(+); OK
ACOL01000365:c(839-2716) ; contig51:839-2680(-); error - start (2716/2680)
ACOL01000119:c(5307-7181) ; contig53:5307-7181(-); OK
ACOL01000005:10931-12799 ; contig54:11840-12799(+); error - start (10931/11840)
ACOL01000064:c(8902-10761) ; contig54:9003-10761(-); error - end (8902/9003)
ACOL01000004:5516-7372 ; ND ; ND
ACOL01000038:15157-17010 ; ND ; ND
ACOL01000081:9724-11577 ; contig53:9751-11577(+); error - start (9724/9751)
ACOL01000597:387-2240 ; contig48:501-2240(+); error - start (387/501)
ACOL01000260:3014-4864 ; contig52:3014-4864(+); OK
ACOL01000011:9742-11589 ; ND ; ND
ACOL01000581:401-2245 ; contig48:401-2245(+); OK
ACOL01000046:5407-7245 ; ND ; ND
ACOL01000126:4396-6231 ; contig53:4396-6231(+); OK
ACOL01000122:c(3657-5489) ; contig53:3657-5489(-); OK
ACOL01000396:1365-3197 ; ND ; ND
ACOL01000003:27828-29657 ; contig54:27828-29657(+); OK
ACOL01000023:c(15256-17085) ; ND ; ND
ACOL01000352:485-2299 ; contig51:485-2299(+); OK
ACOL01000009:c(21384-23195) ; contig54:21384-23051(-); error - start (23195/23051)
ACOL01000133:c(3382-5193) ; contig53:3382-5142(-); error - start (5193/5142)
ACOL01000025:13079-14887 ; contig54:13079-14887(+); OK
ACOL01000289:284-2092 ; contig51:284-2092(+); OK
ACOL01000031:c(11565-13370) ; contig54:11565-13370(-); OK
ACOL01000228:775-2577 ; contig52:775-2577(+); OK
ACOL01000097:c(8067-9866) ; ND ; ND
ACOL01000057:3110-4906 ; contig54:3110-4906(+); OK
ACOL01000215:2568-4364 ; contig52:2568-4364(+); OK
ACOL01000056:12937-14730 ; contig54:12937-14730(+); OK
ACOL01000018:19812-21596 ; contig54:19812-21596(+); OK
ACOL01000083:7735-9519 ; contig53:7891-9519(+); error - start (7735/7891)
ACOL01000030:1345-3126 ; contig54:1345-3126(+); OK
ACOL01000027:c(18222-20000) ; contig54:18222-19952(-); error - start (20000/19952)
ACOL01000266:c(1390-3168) ; contig52:1390-3168(-); OK
ACOL01000001:43359-45125 ; ND ; ND
ACOL01000039:538-2304 ; contig54:538-2304(+); OK
ACOL01000117:c(2248-4011) ; contig53:2248-4011(-); OK
ACOL01000005:c(8146-9906) ; contig54:8146-9291(-); error - start (9906/9291)
ACOL01000350:179-1936 ; contig51:179-1936(+); OK
ACOL01000065:c(5788-7539) ; contig54:5788-7539(-); OK
ACOL01000007:c(3598-5340) ; contig54:3598-5340(-); OK
ACOL01000153:4896-6635 ; contig53:4896-6635(+); OK
ACOL01000004:26971-28707 ; ND ; ND
ACOL01000051:c(11003-12739) ; ND ; ND
ACOL01000090:c(5509-7245) ; contig53:5509-7215(-); error - start (7245/7215)
ACOL01000038:c(11244-12977) ; contig54:11244-12977(-); OK
ACOL01000042:10905-12638 ; contig54:11412-12638(+); error - start (10905/11412)
ACOL01000228:c(4051-5784) ; contig52:4051-5784(-); OK
ACOL01000356:454-2187 ; contig51:454-2187(+); OK
ACOL01000008:c(4850-6577) ; contig54:4850-6229(-); error - start (6577/6229)
ACOL01000036:c(7617-9344) ; contig54:7617-9344(-); OK
ACOL01000060:11526-13253 ; contig54:11784-13253(+); error - start (11526/11784)
ACOL01000003:c(6275-7996) ; contig54:6275-7996(-); OK
ACOL01000029:c(12314-14035) ; contig54:12314-13720(-); error - start (14035/13720)
ACOL01000042:8786-10507 ; contig54:9155-10507(+); error - start (8786/9155)
ACOL01000037:8303-10021 ; contig54:8789-10021(+); error - start (8303/8789)
ACOL01000056:5264-6982 ; ND ; ND
ACOL01000014:c(7048-8760) ; contig54:7048-8760(-); OK
ACOL01000042:c(1310-3019) ; contig54:1310-3019(-); OK
ACOL01000372:c(1805-3514) ; ND ; ND
ACOL01000011:15393-17099 ; ND ; ND
ACOL01000014:4714-6417 ; contig54:4714-6417(+); OK
ACOL01000128:2246-3946 ; contig53:2246-3946(+); OK
ACOL01000182:99-1799 ; contig52:180-1799(+); error - start (99/180)
ACOL01000045:15307-17004 ; contig54:15307-17004(+); OK
ACOL01000060:3869-5566 ; ND ; ND
ACOL01000182:2031-3722 ; contig52:2031-3722(+); OK
ACOL01000183:3471-5162 ; contig52:3471-5162(+); OK
ACOL01000036:c(110-1798) ; ND ; ND
ACOL01000093:c(8675-10363) ; contig53:8675-10177(-); error - start (10363/10177)
ACOL01000548:469-2157 ; contig49:469-2157(+); OK
ACOL01000245:1519-3204 ; contig52:1519-3204(+); OK
ACOL01000141:c(3776-5458) ; contig53:3776-5458(-); OK
ACOL01000063:c(9189-10868) ; contig54:9189-10868(-); OK
ACOL01000151:6079-7758 ; contig53:6079-7758(+); OK
ACOL01000035:7773-9440 ; contig54:7773-9440(+); OK
ACOL01000123:4813-6480 ; contig53:4813-6480(+); OK
ACOL01000209:c(2404-4071) ; contig52:2404-4071(-); OK
ACOL01000401:c(1299-2963) ; contig50:1299-2963(-); OK
ACOL01000029:c(14310-15968) ; contig54:14310-15968(-); OK
ACOL01000037:14973-16631 ; ND ; ND
ACOL01000145:c(5369-7024) ; ND ; ND
ACOL01000441:c(1234-2883) ; contig50:1234-2457(-); error - start (2883/2457)
ACOL01000245:3828-5474 ; ND ; ND
ACOL01000086:c(1620-3263) ; contig53:1620-3263(-); OK
ACOL01000006:c(9068-10708) ; contig54:9068-10708(-); OK
ACOL01000135:c(238-1878) ; contig53:238-1302(-); error - start (1878/1302)
ACOL01000179:2537-4162 ; ND ; ND
ACOL01000075:8205-9827 ; contig53:8832-9827(+); error - start (8205/8832)
ACOL01000145:c(58-1680) ; contig53:58-1680(-); OK
ACOL01000527:195-1817 ; ND ; ND
ACOL01000111:6641-8254 ; contig53:6641-8254(+); OK
ACOL01000409:273-1886 ; contig50:519-1886(+); error - start (273/519)
ACOL01000007:c(20939-22549) ; contig54:20939-22549(-); OK
ACOL01000125:c(3622-5232) ; contig53:3622-5232(-); OK
ACOL01000150:c(4264-5874) ; contig53:4264-5874(-); OK
ACOL01000159:3248-4858 ; ND ; ND
ACOL01000026:c(4524-6122) ; ND ; ND
ACOL01000133:c(7-1605) ; ND ; ND
ACOL01000070:3705-5300 ; contig53:3705-5300(+); OK
ACOL01000010:22258-23850 ; ND ; ND
ACOL01000139:2328-3920 ; contig53:2328-3920(+); OK
ACOL01000057:c(7985-9574) ; ND ; ND
ACOL01000063:7004-8590 ; contig54:7004-8590(+); OK
ACOL01000013:c(14977-16557) ; ND ; ND
ACOL01000084:1112-2689 ; contig53:1112-2689(+); OK
ACOL01000002:c(55580-57154) ; contig54:55580-57154(-); OK
ACOL01000060:875-2449 ; contig54:1214-2449(+); error - start (875/1214)
ACOL01000554:896-2472 ; contig49:896-2472(+); OK
ACOL01000014:c(22554-24125) ; contig54:22554-23519(-); error - start (24125/23519)
ACOL01000216:791-2359 ; ND ; ND
ACOL01000632:440-2008 ; contig48:440-2008(+); OK
ACOL01000008:12413-13978 ; contig54:12413-13978(+); OK
ACOL01000039:10301-11863 ; contig54:10349-11863(+); error - start (10301/10349)
ACOL01000012:9243-10799 ; contig54:9243-10799(+); OK
ACOL01000191:c(2937-4493) ; contig52:2937-4340(-); error - start (4493/4340)
ACOL01000185:594-2144 ; contig52:594-2144(+); OK
ACOL01000065:3707-5251 ; contig54:3707-5251(+); OK
ACOL01000011:4373-5911 ; contig54:4526-5911(+); error - start (4373/4526)
ACOL01000111:5070-6608 ; ND ; ND
ACOL01000287:3000-4538 ; contig51:3054-4538(+); error - start (3000/3054)
ACOL01000020:7501-9036 ; contig54:7501-9036(+); OK
ACOL01000082:c(2867-4402) ; contig53:2867-4402(-); OK
ACOL01000001:c(47816-49348) ; contig54:47816-49348(-); OK
ACOL01000020:c(15440-16972) ; contig54:15440-16972(-); OK
ACOL01000024:10662-12194 ; contig54:10662-12194(+); OK
ACOL01000021:c(1382-2911) ; ND ; ND
ACOL01000434:c(636-2165) ; contig50:636-2165(-); OK
ACOL01000061:c(3329-4855) ; contig54:3329-4855(-); OK
ACOL01000112:5557-7083 ; contig53:5557-7083(+); OK
ACOL01000019:c(20194-21717) ; contig54:20194-21279(-); error - start (21717/21279)
ACOL01000020:c(11739-13262) ; contig54:11739-12878(-); error - start (13262/12878)
ACOL01000066:8030-9553 ; contig54:8360-9553(+); error - start (8030/8360)
ACOL01000103:c(574-2094) ; contig53:574-2094(-); OK
ACOL01000125:7091-8611 ; contig53:7091-8611(+); OK
ACOL01000014:c(9009-10526) ; contig54:9009-10526(-); OK
ACOL01000111:c(3486-5003) ; contig53:3486-5003(-); OK
ACOL01000152:3696-5213 ; contig53:3783-5213(+); error - start (3696/3783)
ACOL01000168:c(17-1531) ; contig52:18-1531(-); error - end (17/18)
ACOL01000006:c(2688-4190) ; contig54:2688-4190(-); OK
ACOL01000036:16483-17985 ; contig54:16483-17985(+); OK
ACOL01000135:1996-3498 ; contig53:1996-3498(+); OK
ACOL01000181:5821-7323 ; contig52:5821-7323(+); OK
ACOL01000390:c(212-1714) ; contig50:212-1036(-); error - start (1714/1036)
ACOL01000048:c(15174-16673) ; contig54:15174-16673(-); OK
ACOL01000007:c(17727-19223) ; ND ; ND
ACOL01000036:4979-6475 ; ND ; ND
ACOL01000115:c(1215-2711) ; contig53:1215-2711(-); OK
ACOL01000335:c(922-2415) ; contig51:922-2322(-); error - start (2415/2322)
ACOL01000058:11295-12785 ; ND ; ND
ACOL01000032:5327-6814 ; contig54:5327-6814(+); OK
ACOL01000129:1191-2678 ; contig53:1191-2678(+); OK
ACOL01000004:c(28761-30245) ; contig54:28761-30245(-); OK
ACOL01000059:4833-6317 ; contig54:4833-6317(+); OK
ACOL01000002:c(52946-54427) ; ND ; ND
ACOL01000371:1306-2787 ; contig50:1306-2787(+); OK
ACOL01000008:25384-26862 ; contig54:25384-26862(+); OK
ACOL01000061:9188-10666 ; contig54:9188-10666(+); OK
ACOL01000011:c(17155-18627) ; contig54:17155-18627(-); OK
ACOL01000112:335-1807 ; contig53:503-1807(+); error - start (335/503)
ACOL01000135:c(7777-9249) ; contig53:7777-9102(-); error - start (9249/9102)
ACOL01000028:1045-2508 ; ND ; ND
ACOL01000017:c(9811-11271) ; ND ; ND
ACOL01000013:10422-11879 ; contig54:10422-11879(+); OK
ACOL01000465:304-1761 ; contig50:346-1761(+); error - start (304/346)
ACOL01000099:7218-8672 ; contig53:7218-8672(+); OK
ACOL01000307:c(1933-3387) ; ND ; ND
ACOL01000040:c(9588-11039) ; ND ; ND
ACOL01000077:2047-3498 ; contig53:2047-3498(+); OK
ACOL01000080:5013-6464 ; contig53:5658-6464(+); error - start (5013/5658)
ACOL01000131:c(5356-6807) ; contig53:5356-6714(-); error - start (6807/6714)
ACOL01000163:c(4962-6413) ; contig53:4962-6341(-); error - start (6413/6341)
ACOL01000103:8557-10002 ; contig53:8557-10002(+); OK
ACOL01000169:3168-4613 ; contig52:3168-4613(+); OK
ACOL01000191:74-1519 ; contig52:74-1519(+); OK
ACOL01000048:c(13442-14884) ; contig54:13442-14884(-); OK
ACOL01000075:c(5440-6882) ; ND ; ND
ACOL01000099:c(4237-5676) ; contig53:4237-5676(-); OK
ACOL01000117:5522-6961 ; contig53:5522-6961(+); OK
ACOL01000005:884-2320 ; contig54:884-2320(+); OK
ACOL01000023:11114-12550 ; contig54:11114-12550(+); OK
ACOL01000041:1686-3122 ; contig54:1686-3122(+); OK
ACOL01000144:1389-2822 ; contig53:1389-2822(+); OK
ACOL01000013:c(21011-22441) ; contig54:21011-22441(-); OK
ACOL01000021:11649-13079 ; contig54:11967-13079(+); error - start (11649/11967)
ACOL01000078:c(3133-4563) ; contig53:3133-4563(-); OK
ACOL01000091:c(8359-9789) ; contig53:8359-9789(-); OK
ACOL01000056:c(7080-8507) ; contig54:7080-8507(-); OK
ACOL01000001:54665-56089 ; contig54:54665-56089(+); OK
ACOL01000009:15397-16821 ; contig54:15397-16821(+); OK
ACOL01000087:c(4094-5518) ; contig53:4094-5518(-); OK
ACOL01000011:c(11899-13320) ; contig54:11899-13320(-); OK
ACOL01000060:6063-7484 ; contig54:6480-7484(+); error - start (6063/6480)
ACOL01000695:382-1803 ; contig47:382-1803(+); OK
ACOL01000064:c(5391-6809) ; contig54:5391-6809(-); OK
ACOL01000049:2003-3418 ; contig54:3083-3418(+); error - start (2003/3083)
ACOL01000012:5648-7060 ; contig54:5648-7060(+); OK
ACOL01000112:7142-8554 ; contig53:7142-8554(+); OK
ACOL01000153:2604-4016 ; contig53:2604-4016(+); OK
ACOL01000004:c(12175-13584) ; ND ; ND
ACOL01000054:763-2172 ; contig54:763-2172(+); OK
ACOL01000018:c(6038-7441) ; contig54:6038-7441(-); OK
ACOL01000068:c(11438-12841) ; ND ; ND
ACOL01000003:4125-5525 ; ND ; ND
ACOL01000211:2027-3427 ; contig52:2027-3427(+); OK
ACOL01000104:c(8225-9619) ; contig53:8225-9619(-); OK
ACOL01000006:c(439-1830) ; contig54:439-1815(-); error - start (1830/1815)
ACOL01000022:c(6527-7915) ; ND ; ND
ACOL01000416:1306-2694 ; contig50:1306-2694(+); OK
ACOL01000221:c(1965-3350) ; contig52:1965-3350(-); OK
ACOL01000137:6276-7658 ; contig53:6297-7658(+); error - start (6276/6297)
ACOL01000012:16801-18180 ; contig54:16801-18180(+); OK
ACOL01000576:635-2014 ; contig48:635-2014(+); OK
ACOL01000095:2742-4118 ; contig53:2742-4118(+); OK
ACOL01000009:17173-18546 ; contig54:17173-18546(+); OK
ACOL01000002:c(30380-31747) ; ND ; ND
ACOL01000357:c(776-2143) ; contig51:776-1993(-); error - start (2143/1993)
ACOL01000095:c(6571-7935) ; contig53:6571-7905(-); error - start (7935/7905)
ACOL01000056:3122-4483 ; contig54:3122-4483(+); OK
ACOL01000265:3002-4363 ; ND ; ND
ACOL01000284:3515-4873 ; contig51:3515-4873(+); OK
ACOL01000013:c(24248-25600) ; contig54:24248-25264(-); error - start (25600/25264)
ACOL01000463:224-1573 ; ND ; ND
ACOL01000011:c(19090-20436) ; contig54:19090-20436(-); OK
ACOL01000031:c(2804-4150) ; contig54:2804-4150(-); OK
ACOL01000040:672-2015 ; contig54:672-2015(+); OK
ACOL01000107:c(3931-5274) ; contig53:3931-5274(-); OK
ACOL01000197:5158-6498 ; contig52:5158-6498(+); OK
ACOL01000201:c(5150-6490) ; contig52:5150-5470(-); error - start (6490/5470)
ACOL01000005:15924-17261 ; contig54:16437-17261(+); error - start (15924/16437)
ACOL01000097:c(3535-4872) ; ND ; ND
ACOL01000019:c(7804-9135) ; contig54:7804-9135(-); OK
ACOL01000250:c(3433-4761) ; contig52:3433-4761(-); OK
ACOL01000046:10623-11948 ; ND ; ND
ACOL01000091:c(718-2043) ; ND ; ND
ACOL01000027:c(11154-12476) ; contig54:11154-12476(-); OK
ACOL01000606:94-1416 ; contig48:94-1416(+); OK
ACOL01000006:c(16184-17503) ; contig54:16184-16978(-); error - start (17503/16978)
ACOL01000076:5677-6996 ; ND ; ND
ACOL01000078:10357-11676 ; contig53:10357-11676(+); OK
ACOL01000084:3085-4404 ; contig53:3085-4404(+); OK
ACOL01000090:c(3709-5025) ; contig53:3709-4332(-); error - start (5025/4332)
ACOL01000262:4041-5357 ; contig52:4041-5357(+); OK
ACOL01000500:c(1204-2520) ; contig49:1204-1608(-); error - start (2520/1608)
ACOL01000514:101-1417 ; ND ; ND
ACOL01000078:c(4817-6130) ; contig53:4817-6130(-); OK
ACOL01000120:8001-9314 ; contig53:8325-9314(+); error - start (8001/8325)
ACOL01000523:c(734-2044) ; contig49:734-2044(-); OK
ACOL01000086:5330-6637 ; ND ; ND
ACOL01000179:6053-7357 ; contig52:6143-7357(+); error - start (6053/6143)
ACOL01000200:c(1067-2371) ; contig52:1067-2371(-); OK
ACOL01000533:786-2090 ; ND ; ND
ACOL01000030:c(4256-5557) ; ND ; ND
ACOL01000079:c(10640-11941) ; contig53:10640-11941(-); OK
ACOL01000092:10042-11343 ; contig53:10042-11343(+); OK
ACOL01000188:c(1080-2381) ; ND ; ND
ACOL01000175:c(424-1722) ; ND ; ND
ACOL01000048:c(9092-10387) ; contig54:9092-10387(-); OK
ACOL01000050:c(7690-8985) ; contig54:7690-8985(-); OK
ACOL01000094:9001-10293 ; contig53:9040-10293(+); error - start (9001/9040)
ACOL01000114:271-1563 ; contig53:271-1563(+); OK
ACOL01000002:13869-15158 ; contig54:13869-15158(+); OK
ACOL01000067:10925-12211 ; contig53:10925-12211(+); OK
ACOL01000072:c(7338-8624) ; ND ; ND
ACOL01000193:520-1806 ; ND ; ND
ACOL01000002:35894-37177 ; ND ; ND
ACOL01000003:c(32370-33653) ; ND ; ND
ACOL01000027:13948-15231 ; contig54:13948-15231(+); OK
ACOL01000048:c(6250-7533) ; contig54:6250-7533(-); OK
ACOL01000064:183-1466 ; contig54:183-1466(+); OK
ACOL01000020:5951-7231 ; contig54:5990-7231(+); error - start (5951/5990)
ACOL01000090:c(1935-3215) ; contig53:1935-3215(-); OK
ACOL01000120:4248-5528 ; contig53:4248-5528(+); OK
ACOL01000092:3269-4546 ; contig53:3371-4546(+); error - start (3269/3371)
