PROTEOME ; AUGUSTUS ; ERROR AUGUSTUS
ACOL01000093:c(1999-5112) ; ACOL01000093BRL01_0000:1999-5112(-); OK
ACOL01000001:c(39119-42196) ; ACOL01000001BRL01_0000:39119-42196(-); OK
ACOL01000205:c(3225-6290) ; ACOL01000205BRL01_0002:3225-6290(-); OK
ACOL01000077:7769-10762 ; ACOL01000077BRL01_0000:8312-10762(+); error - start (7769/8312)
ACOL01000059:c(12356-15340) ; ACOL01000059BRL01_0000:12356-15340(-); OK
ACOL01000024:c(15097-18078) ; ACOL01000024BRL01_0000:15097-18078(-); OK
ACOL01000134:c(4227-7184) ; ACOL01000134BRL01_0001:4227-7073(-); error - start (7184/7073)
ACOL01000086:8643-11576 ; ACOL01000086BRL01_0000:8643-11576(+); OK
ACOL01000032:c(8849-11776) ; ACOL01000032BRL01_0000:8849-11776(-); OK
ACOL01000105:6663-9581 ; ACOL01000105BRL01_0001:6663-9581(+); OK
ACOL01000319:c(1277-4159) ; ACOL01000319BRL01_0003:1277-4159(-); OK
ACOL01000014:11038-13899 ; ACOL01000014BRL01_0000:11881-13899(+); error - start (11038/11881)
ACOL01000010:11542-14400 ; ACOL01000010BRL01_0000:11542-14400(+); OK
ACOL01000175:c(4158-7010) ; ACOL01000175BRL01_0001:4158-7010(-); OK
ACOL01000115:c(4278-7064) ; ACOL01000115BRL01_0001:4278-7064(-); OK
ACOL01000061:11077-13845 ; ACOL01000061BRL01_0000:11077-13845(+); OK
ACOL01000272:92-2854 ; ACOL01000272BRL01_0002:179-2854(+); error - start (92/179)
ACOL01000205:c(497-3202) ; ACOL01000205BRL01_0002:497-3202(-); OK
ACOL01000329:c(624-3329) ; ACOL01000329BRL01_0003:624-2444(-); error - start (3329/2444)
ACOL01000032:1908-4604 ; ACOL01000032BRL01_0000:1908-4604(+); OK
ACOL01000057:12024-14678 ; ACOL01000057BRL01_0000:12024-14678(+); OK
ACOL01000044:9161-11812 ; ACOL01000044BRL01_0000:9161-11812(+); OK
ACOL01000001:c(35932-38574) ; ACOL01000001BRL01_0000:35932-37764(-); error - start (38574/37764)
ACOL01000081:c(1230-3869) ; ACOL01000081BRL01_0000:1230-3869(-); OK
ACOL01000039:c(15557-18181) ; ACOL01000039BRL01_0000:15557-18181(-); OK
ACOL01000115:7508-10123 ; ACOL01000115BRL01_0001:7508-10123(+); OK
ACOL01000017:c(5305-7917) ; ND ; ND
ACOL01000084:4506-7115 ; ACOL01000084BRL01_0000:4506-7115(+); OK
ACOL01000135:5150-7756 ; ACOL01000135BRL01_0001:5150-7756(+); OK
ACOL01000004:14133-16733 ; ACOL01000004BRL01_0000:14907-16733(+); error - start (14133/14907)
ACOL01000011:5959-8559 ; ACOL01000011BRL01_0000:5959-8559(+); OK
ACOL01000155:1055-3649 ; ACOL01000155BRL01_0001:1055-3649(+); OK
ACOL01000100:1797-4385 ; ACOL01000100BRL01_0001:2352-4385(+); error - start (1797/2352)
ACOL01000025:c(10353-12929) ; ACOL01000025BRL01_0000:10353-12929(-); OK
ACOL01000037:11077-13647 ; ACOL01000037BRL01_0000:11731-13647(+); error - start (11077/11731)
ACOL01000003:13969-16524 ; ACOL01000003BRL01_0000:13969-16524(+); OK
ACOL01000167:628-3180 ; ACOL01000167BRL01_0001:628-3180(+); OK
ACOL01000164:c(1723-4272) ; ACOL01000164BRL01_0001:1723-4272(-); OK
ACOL01000127:7035-9575 ; ACOL01000127BRL01_0001:7035-9575(+); OK
ACOL01000037:424-2952 ; ACOL01000037BRL01_0000:424-2952(+); OK
ACOL01000022:c(14547-17060) ; ND ; ND
ACOL01000116:1743-4253 ; ACOL01000116BRL01_0001:1743-3344(+); error - end (4253/3344)
ACOL01000038:8248-10734 ; ACOL01000038BRL01_0000:8248-10734(+); OK
ACOL01000007:c(23098-25578) ; ACOL01000007BRL01_0000:23098-25578(-); OK
ACOL01000002:c(40019-42496) ; ACOL01000002BRL01_0000:40019-42496(-); OK
ACOL01000161:1553-4018 ; ACOL01000161BRL01_0001:2006-4018(+); error - start (1553/2006)
ACOL01000001:c(24971-27421) ; ACOL01000001BRL01_0000:24971-27421(-); OK
ACOL01000114:c(3817-6264) ; ACOL01000114BRL01_0001:3817-6264(-); OK
ACOL01000002:17518-19947 ; ACOL01000002BRL01_0000:17518-19947(+); OK
ACOL01000068:2781-5207 ; ACOL01000068BRL01_0000:2781-5207(+); OK
ACOL01000433:c(426-2852) ; ND ; ND
ACOL01000244:c(1540-3957) ; ACOL01000244BRL01_0002:1540-3957(-); OK
ACOL01000072:10315-12717 ; ACOL01000072BRL01_0000:10372-12717(+); error - start (10315/10372)
ACOL01000022:3929-6322 ; ACOL01000022BRL01_0000:3929-6322(+); OK
ACOL01000083:c(4891-7257) ; ACOL01000083BRL01_0000:4891-7257(-); OK
ACOL01000004:c(2819-5164) ; ACOL01000004BRL01_0000:2819-5068(-); error - start (5164/5068)
ACOL01000002:c(46571-48913) ; ACOL01000002BRL01_0000:46571-48382(-); error - start (48913/48382)
ACOL01000018:17297-19633 ; ND ; ND
ACOL01000064:2688-5024 ; ACOL01000064BRL01_0000:2688-5024(+); OK
ACOL01000049:c(7803-10130) ; ND ; ND
ACOL01000124:c(825-3149) ; ND ; ND
ACOL01000072:4432-6753 ; ACOL01000072BRL01_0000:4432-6753(+); OK
ACOL01000366:c(202-2523) ; ACOL01000366BRL01_0003:202-2523(-); OK
ACOL01000377:c(43-2313) ; ACOL01000377BRL01_0003:43-2313(-); OK
ACOL01000263:1949-4207 ; ND ; ND
ACOL01000019:c(15668-17920) ; ACOL01000019BRL01_0000:15668-17920(-); OK
ACOL01000097:c(5079-7331) ; ACOL01000097BRL01_0000:5079-6692(-); error - start (7331/6692)
ACOL01000101:8463-10715 ; ACOL01000101BRL01_0001:8601-10715(+); error - start (8463/8601)
ACOL01000091:c(3252-5495) ; ND ; ND
ACOL01000013:5284-7524 ; ACOL01000013BRL01_0000:5308-7524(+); error - start (5284/5308)
ACOL01000085:c(3284-5521) ; ACOL01000085BRL01_0000:3284-5287(-); error - start (5521/5287)
ACOL01000108:c(1136-3325) ; ACOL01000108BRL01_0001:1136-2788(-); error - start (3325/2788)
ACOL01000139:4586-6775 ; ACOL01000139BRL01_0001:4586-6775(+); OK
ACOL01000079:2311-4491 ; ND ; ND
ACOL01000021:c(15811-17982) ; ACOL01000021BRL01_0000:16303-17982(-); error - end (15811/16303)
ACOL01000068:c(9157-11325) ; ACOL01000068BRL01_0000:9157-11325(-); OK
ACOL01000072:c(1704-3869) ; ACOL01000072BRL01_0000:1704-3359(-); error - start (3869/3359)
ACOL01000130:c(1913-4063) ; ND ; ND
ACOL01000008:16742-18871 ; ACOL01000008BRL01_0000:16742-18871(+); OK
ACOL01000081:6116-8245 ; ACOL01000081BRL01_0000:6116-8245(+); OK
ACOL01000304:c(894-3023) ; ACOL01000304BRL01_0003:894-3023(-); OK
ACOL01000021:8547-10667 ; ACOL01000021BRL01_0000:8547-10667(+); OK
ACOL01000539:349-2469 ; ACOL01000539BRL01_0005:1003-2469(+); error - start (349/1003)
ACOL01000035:c(4542-6653) ; ACOL01000035BRL01_0000:4542-6545(-); error - start (6653/6545)
ACOL01000120:800-2911 ; ND ; ND
ACOL01000047:c(7772-9874) ; ACOL01000047BRL01_0000:7772-9874(-); OK
ACOL01000027:c(16059-18158) ; ACOL01000027BRL01_0000:16059-18158(-); OK
ACOL01000042:6139-8235 ; ACOL01000042BRL01_0000:6139-8235(+); OK
ACOL01000036:13941-16028 ; ACOL01000036BRL01_0000:14364-16028(+); error - start (13941/14364)
ACOL01000107:5340-7427 ; ACOL01000107BRL01_0001:5340-7427(+); OK
ACOL01000122:1551-3635 ; ACOL01000122BRL01_0001:1551-3635(+); OK
ACOL01000085:6936-9017 ; ACOL01000085BRL01_0000:6936-9017(+); OK
ACOL01000001:c(50068-52143) ; ACOL01000001BRL01_0000:50068-52143(-); OK
ACOL01000169:5431-7506 ; ACOL01000169BRL01_0001:5431-7506(+); OK
ACOL01000461:c(574-2649) ; ACOL01000461BRL01_0004:574-1824(-); error - start (2649/1824)
ACOL01000011:c(25399-27471) ; ACOL01000011BRL01_0000:25399-27471(-); OK
ACOL01000369:1306-3378 ; ACOL01000369BRL01_0003:1306-3378(+); OK
ACOL01000022:1714-3774 ; ACOL01000022BRL01_0000:1714-3774(+); OK
ACOL01000026:2381-4432 ; ACOL01000026BRL01_0000:2381-4432(+); OK
ACOL01000021:c(6414-8462) ; ACOL01000021BRL01_0000:6414-8462(-); OK
ACOL01000063:c(2101-4149) ; ACOL01000063BRL01_0000:2101-4149(-); OK
ACOL01000107:7976-10015 ; ACOL01000107BRL01_0001:7976-10015(+); OK
ACOL01000439:514-2550 ; ACOL01000439BRL01_0004:514-2550(+); OK
ACOL01000071:1534-3567 ; ACOL01000071BRL01_0000:1534-3567(+); OK
ACOL01000023:c(12554-14584) ; ACOL01000023BRL01_0000:12554-14584(-); OK
ACOL01000018:c(12767-14794) ; ACOL01000018BRL01_0000:12767-14794(-); OK
ACOL01000118:c(3537-5561) ; ACOL01000118BRL01_0001:3537-5561(-); OK
ACOL01000071:c(5113-7131) ; ND ; ND
ACOL01000415:c(734-2746) ; ACOL01000415BRL01_0004:734-2746(-); OK
ACOL01000308:c(927-2933) ; ACOL01000308BRL01_0003:927-2933(-); OK
ACOL01000066:9843-11843 ; ACOL01000066BRL01_0000:9843-11843(+); OK
ACOL01000154:1597-3594 ; ACOL01000154BRL01_0001:1597-3594(+); OK
ACOL01000027:1484-3478 ; ACOL01000027BRL01_0000:1484-3478(+); OK
ACOL01000106:4607-6595 ; ACOL01000106BRL01_0001:4607-5591(+); error - end (6595/5591)
ACOL01000134:1722-3707 ; ACOL01000134BRL01_0001:1722-3707(+); OK
ACOL01000450:420-2405 ; ACOL01000450BRL01_0004:420-2405(+); OK
ACOL01000080:c(9966-11945) ; ACOL01000080BRL01_0000:9966-11945(-); OK
ACOL01000027:8935-10908 ; ACOL01000027BRL01_0000:9103-10908(+); error - start (8935/9103)
ACOL01000063:c(11689-13659) ; ACOL01000063BRL01_0000:11689-13659(-); OK
ACOL01000079:5698-7662 ; ND ; ND
ACOL01000109:c(1466-3409) ; ACOL01000109BRL01_0001:2039-3409(-); error - end (1466/2039)
ACOL01000092:c(200-2140) ; ACOL01000092BRL01_0000:200-2140(-); OK
ACOL01000015:c(10470-12407) ; ACOL01000015BRL01_0000:11432-12407(-); error - end (10470/11432)
ACOL01000220:c(370-2307) ; ND ; ND
ACOL01000118:c(5674-7608) ; ND ; ND
ACOL01000180:5473-7407 ; ACOL01000180BRL01_0001:5473-7407(+); OK
ACOL01000193:c(2469-4403) ; ACOL01000193BRL01_0001:2469-4403(-); OK
ACOL01000043:15162-17093 ; ND ; ND
ACOL01000221:c(3608-5536) ; ACOL01000221BRL01_0002:3608-5536(-); OK
ACOL01000010:218-2143 ; ACOL01000010BRL01_0000:218-2143(+); OK
ACOL01000061:6810-8735 ; ACOL01000061BRL01_0000:7287-8735(+); error - start (6810/7287)
ACOL01000006:24303-26216 ; ND ; ND
ACOL01000047:c(3893-5797) ; ACOL01000047BRL01_0000:3893-5797(-); OK
ACOL01000017:1286-3187 ; ACOL01000017BRL01_0000:1286-3187(+); OK
ACOL01000264:2479-4380 ; ACOL01000264BRL01_0002:2491-4380(+); error - start (2479/2491)
ACOL01000067:c(2792-4690) ; ACOL01000067BRL01_0000:2792-4690(-); OK
ACOL01000154:c(6269-8149) ; ACOL01000154BRL01_0001:6269-8149(-); OK
ACOL01000559:242-2122 ; ACOL01000559BRL01_0005:242-2122(+); OK
ACOL01000365:c(839-2716) ; ACOL01000365BRL01_0003:839-2680(-); error - start (2716/2680)
ACOL01000119:c(5307-7181) ; ACOL01000119BRL01_0001:5307-7181(-); OK
ACOL01000005:10931-12799 ; ACOL01000005BRL01_0000:11840-12799(+); error - start (10931/11840)
ACOL01000064:c(8902-10761) ; ACOL01000064BRL01_0000:9003-10761(-); error - end (8902/9003)
ACOL01000004:5516-7372 ; ACOL01000004BRL01_0000:6113-7372(+); error - start (5516/6113)
ACOL01000038:15157-17010 ; ND ; ND
ACOL01000081:9724-11577 ; ACOL01000081BRL01_0000:9751-11577(+); error - start (9724/9751)
ACOL01000597:387-2240 ; ACOL01000597BRL01_0005:501-2240(+); error - start (387/501)
ACOL01000260:3014-4864 ; ACOL01000260BRL01_0002:3014-4864(+); OK
ACOL01000011:9742-11589 ; ACOL01000011BRL01_0000:9742-10878(+); error - end (11589/10878)
ACOL01000581:401-2245 ; ACOL01000581BRL01_0005:401-2245(+); OK
ACOL01000046:5407-7245 ; ND ; ND
ACOL01000126:4396-6231 ; ACOL01000126BRL01_0001:4396-6231(+); OK
ACOL01000122:c(3657-5489) ; ACOL01000122BRL01_0001:3657-5489(-); OK
ACOL01000396:1365-3197 ; ND ; ND
ACOL01000003:27828-29657 ; ACOL01000003BRL01_0000:27828-29657(+); OK
ACOL01000023:c(15256-17085) ; ND ; ND
ACOL01000352:485-2299 ; ACOL01000352BRL01_0003:485-2299(+); OK
ACOL01000009:c(21384-23195) ; ACOL01000009BRL01_0000:21384-23051(-); error - start (23195/23051)
ACOL01000133:c(3382-5193) ; ACOL01000133BRL01_0001:3382-5142(-); error - start (5193/5142)
ACOL01000025:13079-14887 ; ACOL01000025BRL01_0000:13079-14887(+); OK
ACOL01000289:284-2092 ; ACOL01000289BRL01_0002:284-2092(+); OK
ACOL01000031:c(11565-13370) ; ACOL01000031BRL01_0000:11565-13370(-); OK
ACOL01000228:775-2577 ; ACOL01000228BRL01_0002:775-2577(+); OK
ACOL01000097:c(8067-9866) ; ND ; ND
ACOL01000057:3110-4906 ; ACOL01000057BRL01_0000:3110-4906(+); OK
ACOL01000215:2568-4364 ; ACOL01000215BRL01_0002:2568-4364(+); OK
ACOL01000056:12937-14730 ; ACOL01000056BRL01_0000:12937-14730(+); OK
ACOL01000018:19812-21596 ; ACOL01000018BRL01_0000:19812-21596(+); OK
ACOL01000083:7735-9519 ; ACOL01000083BRL01_0000:7891-9519(+); error - start (7735/7891)
ACOL01000030:1345-3126 ; ACOL01000030BRL01_0000:1345-3126(+); OK
ACOL01000027:c(18222-20000) ; ACOL01000027BRL01_0000:18222-19952(-); error - start (20000/19952)
ACOL01000266:c(1390-3168) ; ACOL01000266BRL01_0002:1390-3168(-); OK
ACOL01000001:43359-45125 ; ND ; ND
ACOL01000039:538-2304 ; ACOL01000039BRL01_0000:538-2304(+); OK
ACOL01000117:c(2248-4011) ; ACOL01000117BRL01_0001:2248-4011(-); OK
ACOL01000005:c(8146-9906) ; ACOL01000005BRL01_0000:8146-9291(-); error - start (9906/9291)
ACOL01000350:179-1936 ; ACOL01000350BRL01_0003:179-1936(+); OK
ACOL01000065:c(5788-7539) ; ACOL01000065BRL01_0000:5788-7539(-); OK
ACOL01000007:c(3598-5340) ; ACOL01000007BRL01_0000:3598-5340(-); OK
ACOL01000153:4896-6635 ; ACOL01000153BRL01_0001:4896-6635(+); OK
ACOL01000004:26971-28707 ; ND ; ND
ACOL01000051:c(11003-12739) ; ND ; ND
ACOL01000090:c(5509-7245) ; ACOL01000090BRL01_0000:5509-7215(-); error - start (7245/7215)
ACOL01000038:c(11244-12977) ; ACOL01000038BRL01_0000:11244-12977(-); OK
ACOL01000042:10905-12638 ; ACOL01000042BRL01_0000:11412-12638(+); error - start (10905/11412)
ACOL01000228:c(4051-5784) ; ACOL01000228BRL01_0002:4051-5784(-); OK
ACOL01000356:454-2187 ; ACOL01000356BRL01_0003:454-2187(+); OK
ACOL01000008:c(4850-6577) ; ACOL01000008BRL01_0000:4850-6229(-); error - start (6577/6229)
ACOL01000036:c(7617-9344) ; ACOL01000036BRL01_0000:7617-9344(-); OK
ACOL01000060:11526-13253 ; ACOL01000060BRL01_0000:11784-13253(+); error - start (11526/11784)
ACOL01000003:c(6275-7996) ; ACOL01000003BRL01_0000:6275-7996(-); OK
ACOL01000029:c(12314-14035) ; ACOL01000029BRL01_0000:12314-13720(-); error - start (14035/13720)
ACOL01000042:8786-10507 ; ACOL01000042BRL01_0000:9155-10507(+); error - start (8786/9155)
ACOL01000037:8303-10021 ; ACOL01000037BRL01_0000:8789-10021(+); error - start (8303/8789)
ACOL01000056:5264-6982 ; ND ; ND
ACOL01000014:c(7048-8760) ; ACOL01000014BRL01_0000:7048-8760(-); OK
ACOL01000042:c(1310-3019) ; ACOL01000042BRL01_0000:1310-3019(-); OK
ACOL01000372:c(1805-3514) ; ND ; ND
ACOL01000011:15393-17099 ; ND ; ND
ACOL01000014:4714-6417 ; ACOL01000014BRL01_0000:4714-6417(+); OK
ACOL01000128:2246-3946 ; ACOL01000128BRL01_0001:2246-3946(+); OK
ACOL01000182:99-1799 ; ACOL01000182BRL01_0001:180-1799(+); error - start (99/180)
ACOL01000045:15307-17004 ; ACOL01000045BRL01_0000:15307-17004(+); OK
ACOL01000060:3869-5566 ; ND ; ND
ACOL01000182:2031-3722 ; ACOL01000182BRL01_0001:2031-3722(+); OK
ACOL01000183:3471-5162 ; ACOL01000183BRL01_0001:3471-5162(+); OK
ACOL01000036:c(110-1798) ; ND ; ND
ACOL01000093:c(8675-10363) ; ACOL01000093BRL01_0000:8675-10177(-); error - start (10363/10177)
ACOL01000548:469-2157 ; ACOL01000548BRL01_0005:469-2157(+); OK
ACOL01000245:1519-3204 ; ACOL01000245BRL01_0002:1519-3204(+); OK
ACOL01000141:c(3776-5458) ; ACOL01000141BRL01_0001:3776-5458(-); OK
ACOL01000063:c(9189-10868) ; ACOL01000063BRL01_0000:9189-10868(-); OK
ACOL01000151:6079-7758 ; ACOL01000151BRL01_0001:6079-7758(+); OK
ACOL01000035:7773-9440 ; ACOL01000035BRL01_0000:7773-9440(+); OK
ACOL01000123:4813-6480 ; ACOL01000123BRL01_0001:4813-6480(+); OK
ACOL01000209:c(2404-4071) ; ACOL01000209BRL01_0002:2404-4071(-); OK
ACOL01000401:c(1299-2963) ; ACOL01000401BRL01_0004:1299-2963(-); OK
ACOL01000029:c(14310-15968) ; ACOL01000029BRL01_0000:14310-15968(-); OK
ACOL01000037:14973-16631 ; ND ; ND
ACOL01000145:c(5369-7024) ; ND ; ND
ACOL01000441:c(1234-2883) ; ACOL01000441BRL01_0004:1234-2457(-); error - start (2883/2457)
ACOL01000245:3828-5474 ; ND ; ND
ACOL01000086:c(1620-3263) ; ACOL01000086BRL01_0000:1620-3263(-); OK
ACOL01000006:c(9068-10708) ; ACOL01000006BRL01_0000:9068-10708(-); OK
ACOL01000135:c(238-1878) ; ACOL01000135BRL01_0001:238-1302(-); error - start (1878/1302)
ACOL01000179:2537-4162 ; ND ; ND
ACOL01000075:8205-9827 ; ACOL01000075BRL01_0000:8832-9827(+); error - start (8205/8832)
ACOL01000145:c(58-1680) ; ACOL01000145BRL01_0001:58-1680(-); OK
ACOL01000527:195-1817 ; ACOL01000527BRL01_0005:195-1028(+); error - end (1817/1028)
ACOL01000111:6641-8254 ; ACOL01000111BRL01_0001:6641-8254(+); OK
ACOL01000409:273-1886 ; ACOL01000409BRL01_0004:519-1886(+); error - start (273/519)
ACOL01000007:c(20939-22549) ; ACOL01000007BRL01_0000:20939-22549(-); OK
ACOL01000125:c(3622-5232) ; ACOL01000125BRL01_0001:3622-5232(-); OK
ACOL01000150:c(4264-5874) ; ACOL01000150BRL01_0001:4264-5874(-); OK
ACOL01000159:3248-4858 ; ND ; ND
ACOL01000026:c(4524-6122) ; ND ; ND
ACOL01000133:c(7-1605) ; ND ; ND
ACOL01000070:3705-5300 ; ACOL01000070BRL01_0000:3705-5300(+); OK
ACOL01000010:22258-23850 ; ND ; ND
ACOL01000139:2328-3920 ; ACOL01000139BRL01_0001:2328-3920(+); OK
ACOL01000057:c(7985-9574) ; ND ; ND
ACOL01000063:7004-8590 ; ACOL01000063BRL01_0000:7004-8590(+); OK
ACOL01000013:c(14977-16557) ; ND ; ND
ACOL01000084:1112-2689 ; ACOL01000084BRL01_0000:1112-2689(+); OK
ACOL01000002:c(55580-57154) ; ACOL01000002BRL01_0000:55580-57154(-); OK
ACOL01000060:875-2449 ; ACOL01000060BRL01_0000:1214-2449(+); error - start (875/1214)
ACOL01000554:896-2472 ; ACOL01000554BRL01_0005:896-2472(+); OK
ACOL01000014:c(22554-24125) ; ACOL01000014BRL01_0000:22554-23519(-); error - start (24125/23519)
ACOL01000216:791-2359 ; ND ; ND
ACOL01000632:440-2008 ; ACOL01000632BRL01_0006:440-2008(+); OK
ACOL01000008:12413-13978 ; ACOL01000008BRL01_0000:12413-13978(+); OK
ACOL01000039:10301-11863 ; ACOL01000039BRL01_0000:10349-11863(+); error - start (10301/10349)
ACOL01000012:9243-10799 ; ACOL01000012BRL01_0000:9243-10799(+); OK
ACOL01000191:c(2937-4493) ; ACOL01000191BRL01_0001:2937-4340(-); error - start (4493/4340)
ACOL01000185:594-2144 ; ACOL01000185BRL01_0001:594-2144(+); OK
ACOL01000065:3707-5251 ; ACOL01000065BRL01_0000:3707-5251(+); OK
ACOL01000011:4373-5911 ; ACOL01000011BRL01_0000:4526-5911(+); error - start (4373/4526)
ACOL01000111:5070-6608 ; ND ; ND
ACOL01000287:3000-4538 ; ACOL01000287BRL01_0002:3054-4538(+); error - start (3000/3054)
ACOL01000020:7501-9036 ; ACOL01000020BRL01_0000:7501-9036(+); OK
ACOL01000082:c(2867-4402) ; ACOL01000082BRL01_0000:2867-4402(-); OK
ACOL01000001:c(47816-49348) ; ACOL01000001BRL01_0000:47816-49348(-); OK
ACOL01000020:c(15440-16972) ; ACOL01000020BRL01_0000:15440-16972(-); OK
ACOL01000024:10662-12194 ; ACOL01000024BRL01_0000:10662-12194(+); OK
ACOL01000021:c(1382-2911) ; ND ; ND
ACOL01000434:c(636-2165) ; ACOL01000434BRL01_0004:636-2165(-); OK
ACOL01000061:c(3329-4855) ; ACOL01000061BRL01_0000:3329-4855(-); OK
ACOL01000112:5557-7083 ; ACOL01000112BRL01_0001:5557-7083(+); OK
ACOL01000019:c(20194-21717) ; ACOL01000019BRL01_0000:20194-21279(-); error - start (21717/21279)
ACOL01000020:c(11739-13262) ; ACOL01000020BRL01_0000:11739-12878(-); error - start (13262/12878)
ACOL01000066:8030-9553 ; ACOL01000066BRL01_0000:8360-9553(+); error - start (8030/8360)
ACOL01000103:c(574-2094) ; ACOL01000103BRL01_0001:574-2094(-); OK
ACOL01000125:7091-8611 ; ACOL01000125BRL01_0001:7091-8611(+); OK
ACOL01000014:c(9009-10526) ; ACOL01000014BRL01_0000:9009-10526(-); OK
ACOL01000111:c(3486-5003) ; ACOL01000111BRL01_0001:3486-5003(-); OK
ACOL01000152:3696-5213 ; ACOL01000152BRL01_0001:3783-5213(+); error - start (3696/3783)
ACOL01000168:c(17-1531) ; ACOL01000168BRL01_0001:18-1531(-); error - end (17/18)
ACOL01000006:c(2688-4190) ; ACOL01000006BRL01_0000:2688-4190(-); OK
ACOL01000036:16483-17985 ; ACOL01000036BRL01_0000:16483-17985(+); OK
ACOL01000135:1996-3498 ; ACOL01000135BRL01_0001:1996-3498(+); OK
ACOL01000181:5821-7323 ; ACOL01000181BRL01_0001:5821-7323(+); OK
ACOL01000390:c(212-1714) ; ACOL01000390BRL01_0003:212-1036(-); error - start (1714/1036)
ACOL01000048:c(15174-16673) ; ACOL01000048BRL01_0000:15174-16673(-); OK
ACOL01000007:c(17727-19223) ; ND ; ND
ACOL01000036:4979-6475 ; ND ; ND
ACOL01000115:c(1215-2711) ; ACOL01000115BRL01_0001:1215-2711(-); OK
ACOL01000335:c(922-2415) ; ACOL01000335BRL01_0003:922-2322(-); error - start (2415/2322)
ACOL01000058:11295-12785 ; ND ; ND
ACOL01000032:5327-6814 ; ACOL01000032BRL01_0000:5327-6814(+); OK
ACOL01000129:1191-2678 ; ACOL01000129BRL01_0001:1191-2678(+); OK
ACOL01000004:c(28761-30245) ; ACOL01000004BRL01_0000:28761-30245(-); OK
ACOL01000059:4833-6317 ; ACOL01000059BRL01_0000:4833-6317(+); OK
ACOL01000002:c(52946-54427) ; ND ; ND
ACOL01000371:1306-2787 ; ACOL01000371BRL01_0003:1306-2787(+); OK
ACOL01000008:25384-26862 ; ACOL01000008BRL01_0000:25384-26862(+); OK
ACOL01000061:9188-10666 ; ACOL01000061BRL01_0000:9188-10666(+); OK
ACOL01000011:c(17155-18627) ; ACOL01000011BRL01_0000:17155-18627(-); OK
ACOL01000112:335-1807 ; ACOL01000112BRL01_0001:503-1807(+); error - start (335/503)
ACOL01000135:c(7777-9249) ; ACOL01000135BRL01_0001:7777-9102(-); error - start (9249/9102)
ACOL01000028:1045-2508 ; ND ; ND
ACOL01000017:c(9811-11271) ; ND ; ND
ACOL01000013:10422-11879 ; ACOL01000013BRL01_0000:10422-11879(+); OK
ACOL01000465:304-1761 ; ACOL01000465BRL01_0004:346-1761(+); error - start (304/346)
ACOL01000099:7218-8672 ; ACOL01000099BRL01_0000:7218-8672(+); OK
ACOL01000307:c(1933-3387) ; ND ; ND
ACOL01000040:c(9588-11039) ; ND ; ND
ACOL01000077:2047-3498 ; ACOL01000077BRL01_0000:2047-3498(+); OK
ACOL01000080:5013-6464 ; ACOL01000080BRL01_0000:5658-6464(+); error - start (5013/5658)
