PROTEOME ; PRODIGAL ; ERROR PRODIGAL
AL590442:145777-147894 ; AL590442:145777-147894(+); OK
AL590442:185391-187502 ; AL590442:185391-187502(+); OK
AL590451:c(210755-212857) ; AL590451:210755-212824(-); error - start (212857/212824)
AL590447:c(150322-152421) ; AL590447:150322-152421(-); OK
AL590450:c(42534-44633) ; AL590450:42534-44669(-); error - start (44633/44669)
AL590449:c(204921-207014) ; AL590449:204921-207014(-); OK
AL590446:c(45351-47441) ; AL590446:45351-47441(-); OK
AL590445:90447-92531 ; AL590445:90447-92531(+); OK
AL590446:c(198523-200607) ; AL590446:198523-200607(-); OK
AL590451:c(152914-154998) ; AL590451:152914-154998(-); OK
AL590442:123615-125687 ; AL590442:123615-125687(+); OK
AL590450:54311-56383 ; AL590450:54311-56383(+); OK
AL590448:c(39625-41688) ; AL590448:39625-41688(-); OK
AL590451:c(53880-55943) ; AL590451:53880-55967(-); error - start (55943/55967)
AL590444:111278-113335 ; AL590444:111320-113335(+); error - start (111278/111320)
AL590444:187227-189284 ; AL590444:187227-189284(+); OK
AL590442:c(13711-15762) ; AL590442:13711-15774(-); error - start (15762/15774)
AL590443:65596-67647 ; AL590443:65596-67647(+); OK
AL590446:c(117063-119111) ; AL590446:117063-119111(-); OK
AL590450:c(104676-106721) ; AL590450:104676-106700(-); error - start (106721/106700)
AL391737:c(76336-78378) ; ND ; ND
AL590447:144659-146701 ; AL590447:144545-146701(+); error - start (144659/144545)
AL590448:c(113318-115357) ; AL590448:113318-115357(-); OK
AL590442:121460-123496 ; AL590442:121460-123496(+); OK
AL590443:c(167007-169043) ; AL590443:167007-169043(-); OK
AL590449:213907-215943 ; AL590449:213907-215943(+); OK
AL590450:141521-143557 ; AL590450:141521-143557(+); OK
AL590446:158893-160920 ; AL590446:158893-160920(+); OK
AL391737:55793-57817 ; ND ; ND
AL391737:c(121867-123885) ; ND ; ND
AL590442:c(154668-156683) ; AL590442:154668-156683(-); OK
AL590450:c(112025-114019) ; AL590450:112025-114010(-); error - start (114019/114010)
AL590447:213403-215382 ; AL590447:213403-215382(+); OK
AL590451:c(7387-9366) ; AL590451:7387-9366(-); OK
AL590450:230189-232165 ; AL590450:230189-232165(+); OK
AL590446:c(69682-71655) ; AL590446:69682-71631(-); error - start (71655/71631)
AL590442:c(86955-88922) ; AL590442:86955-88922(-); OK
AL590451:95280-97247 ; AL590451:95280-97247(+); OK
AL590451:c(108538-110505) ; AL590451:108538-110505(-); OK
AL590445:20700-22664 ; AL590445:20700-22664(+); OK
AL590448:c(18127-20088) ; AL590448:18127-20136(-); error - start (20088/20136)
AL590446:175857-177803 ; AL590446:175773-177803(+); error - start (175857/175773)
AL590451:c(82488-84428) ; AL590451:82488-84428(-); OK
AL590449:c(226461-228395) ; AL590449:226461-228395(-); OK
AL590449:c(121321-123252) ; AL590449:121321-123252(-); OK
AL590442:c(141928-143856) ; AL590442:141928-143856(-); OK
AL590445:14822-16747 ; AL590445:14822-16747(+); OK
AL590447:c(183599-185521) ; AL590447:183599-185521(-); OK
AL590445:52137-54056 ; AL590445:52137-54056(+); OK
AL590450:263188-265092 ; AL590450:263188-265092(+); OK
AL590442:c(163539-165437) ; AL590442:163539-165518(-); error - start (165437/165518)
AL590445:43190-45088 ; AL590445:43190-45088(+); OK
AL590444:c(54518-56413) ; AL590444:54518-56413(-); OK
AL590449:233384-235279 ; AL590449:233336-235279(+); error - start (233384/233336)
AL590450:158745-160637 ; AL590450:158745-160637(+); OK
AL590442:102180-104066 ; AL590442:101838-104066(+); error - start (102180/101838)
AL590446:c(14669-16555) ; AL590446:14669-16516(-); error - start (16555/16516)
AL590451:c(68590-70473) ; AL590451:68590-70119(-); error - start (70473/70119)
AL590449:c(119361-121241) ; AL590449:119361-121235(-); error - start (121241/121235)
AL590443:c(169114-170988) ; AL590443:169114-170988(-); OK
AL590448:c(160949-162823) ; AL590448:160949-162823(-); OK
AL590450:c(200713-202587) ; AL590450:200713-202587(-); OK
AL391737:c(20249-22108) ; AL590448:3463-5250(-); error (20249/3463)(22108/5250)
AL391737:138573-140432 ; ND ; ND
AL590446:17954-19813 ; AL590446:17954-19813(+); OK
AL590448:128140-129999 ; AL590448:128140-129999(+); OK
AL590448:226792-228651 ; AL590448:226792-228651(+); OK
AL590451:c(111121-112977) ; AL590451:111121-112977(-); OK
AL590449:241544-243400 ; AL590449:241544-243400(+); OK
AL590449:53935-55788 ; AL590449:53935-55788(+); OK
AL590442:187833-189683 ; AL590442:187833-189683(+); OK
AL590449:250029-251879 ; AL590449:250029-251879(+); OK
AL590442:52450-54297 ; AL590442:52435-54297(+); error - start (52450/52435)
AL590451:101392-103239 ; AL590451:101392-103239(+); OK
AL590443:c(8576-10420) ; AL590443:8576-10420(-); OK
AL590448:115418-117262 ; AL590448:115418-117262(+); OK
AL590449:c(116319-118163) ; AL590449:116319-118163(-); OK
AL590450:c(8173-10011) ; AL590445:207816-209654(+); error (8173/207816)(10011/209654)
AL590450:c(8173-10011) ; AL590450:8173-10011(-); OK
AL590446:180308-182143 ; AL590446:180308-182143(+); OK
AL590444:203275-205107 ; AL590444:203224-205107(+); error - start (203275/203224)
AL590447:162869-164698 ; AL590447:162869-164698(+); OK
AL590449:137003-138832 ; AL590449:137003-138832(+); OK
AL590444:30617-32443 ; AL590444:30839-32443(+); error - start (30617/30839)
AL590449:c(50646-52472) ; AL590449:50646-52472(-); OK
AL590446:205815-207638 ; AL590446:205815-207638(+); OK
AL590450:c(161979-163802) ; AL590450:161979-163802(-); OK
AL590446:c(11059-12879) ; AL590446:11059-12762(-); error - start (12879/12762)
AL590442:c(66045-67862) ; AL590442:66045-67862(-); OK
AL590447:26042-27856 ; AL590447:26042-27856(+); OK
AL590442:c(128344-130155) ; AL590442:128344-130155(-); OK
AL590451:64242-66053 ; AL590451:64242-66053(+); OK
AL590442:c(7441-9249) ; AL590442:7441-9150(-); error - start (9249/9150)
AL590444:c(180971-182779) ; AL590444:180971-182779(-); OK
AL590446:132373-134178 ; AL590446:132421-134178(+); error - start (132373/132421)
AL590446:c(188284-190083) ; AL590446:188284-190083(-); OK
AL590446:58840-60633 ; AL590446:58840-60633(+); OK
AL590448:c(73964-75757) ; AL590448:73964-75757(-); OK
AL590451:c(149035-150828) ; AL590451:149035-150828(-); OK
AL590450:44804-46597 ; AL590450:44804-46597(+); OK
AL391737:35543-37333 ; ND ; ND
AL590444:c(39074-40864) ; AL590444:39074-40897(-); error - start (40864/40897)
AL391737:c(22867-24645) ; AL590448:6081-7811(-); error (22867/6081)(24645/7811)
AL590442:c(24962-26740) ; AL590442:24962-26740(-); OK
AL590450:76477-78255 ; AL590450:76477-78255(+); OK
AL590446:c(103905-105680) ; AL590446:103905-105680(-); OK
AL590451:178654-180429 ; AL590451:178654-180429(+); OK
AL590443:c(46594-48366) ; AL590443:46594-48366(-); OK
AL590450:58812-60584 ; AL590450:58851-60584(+); error - start (58812/58851)
AL590442:143949-145718 ; AL590442:143949-145718(+); OK
AL391737:c(71320-73086) ; ND ; ND
AL391737:c(126634-128400) ; ND ; ND
AL391737:144099-145865 ; ND ; ND
AL590442:59351-61111 ; AL590442:59351-61111(+); OK
AL590444:73117-74877 ; AL590444:72991-74877(+); error - start (73117/72991)
AL590444:211107-212867 ; AL590444:211155-212867(+); error - start (211107/211155)
AL590443:26196-27953 ; AL590443:26196-27953(+); OK
AL590444:c(162370-164127) ; AL590444:162370-164187(-); error - start (164127/164187)
AL590448:c(69186-70943) ; AL590448:69186-70955(-); error - start (70943/70955)
AL590447:c(72904-74658) ; AL590447:72904-74658(-); OK
AL590449:c(253302-255056) ; AL590449:253302-254915(-); error - start (255056/254915)
AL590446:78553-80301 ; AL590446:78553-80301(+); OK
AL590447:c(7406-9154) ; AL590447:7406-9253(-); error - start (9154/9253)
AL590450:c(169177-170925) ; AL590450:169177-170925(-); OK
AL590450:66826-68571 ; AL590450:66826-68571(+); OK
AL590446:c(8293-10035) ; AL590446:8293-9987(-); error - start (10035/9987)
AL590442:c(10535-12274) ; AL590442:10535-12274(-); OK
AL590446:207962-209701 ; AL590446:207962-209701(+); OK
AL590449:246924-248663 ; AL590449:247101-248663(+); error - start (246924/247101)
AL590443:83547-85283 ; AL590443:83547-85283(+); OK
AL590450:c(152384-154120) ; AL590450:152384-154120(-); OK
AL590451:199634-201364 ; AL590451:199676-201364(+); error - start (199634/199676)
AL391737:149079-150806 ; ND ; ND
AL590442:c(16998-18722) ; AL590442:16998-18839(-); error - start (18722/18839)
AL590449:71897-73615 ; AL590449:71897-73615(+); OK
AL590449:c(168912-170630) ; AL590449:168912-170630(-); OK
AL590450:c(243070-244785) ; AL590450:243070-244785(-); OK
AL590443:120984-122693 ; AL590443:121038-122693(+); error - start (120984/121038)
AL590445:192996-194702 ; AL590445:192996-194702(+); OK
AL590445:168369-170072 ; AL590445:168369-170072(+); OK
AL590451:70894-72597 ; AL590451:70921-72597(+); error - start (70894/70921)
AL590451:130670-132373 ; AL590451:130649-132373(+); error - start (130670/130649)
AL590443:118964-120664 ; AL590443:119006-120664(+); error - start (118964/119006)
AL590445:162582-164279 ; AL590445:162582-164279(+); OK
AL590451:c(39317-41014) ; AL590451:39317-41014(-); OK
AL391737:c(120155-121846) ; ND ; ND
AL590445:41394-43085 ; AL590445:41394-43085(+); OK
AL590445:c(145378-147069) ; AL590445:145378-147069(-); OK
AL590447:c(65251-66942) ; AL590447:65251-66942(-); OK
AL590448:c(64736-66427) ; AL590448:64736-66427(-); OK
AL590451:c(174234-175922) ; AL590451:174234-175043(-); error - start (175922/175043)
AL590451:186632-188320 ; AL590451:186632-188320(+); OK
AL590449:197534-199219 ; AL590449:197534-199219(+); OK
AL590448:c(122755-124437) ; AL590448:122755-124437(-); OK
AL590448:149777-151456 ; AL590448:149777-151456(+); OK
AL590444:115028-116701 ; AL590444:115028-116701(+); OK
AL590446:c(108681-110351) ; AL590446:108681-110417(-); error - start (110351/110417)
AL590450:c(218403-220073) ; AL590450:218403-220019(-); error - start (220073/220019)
AL590444:c(59424-61091) ; AL590444:59424-61091(-); OK
AL590445:54116-55783 ; AL590445:54116-55783(+); OK
AL590451:c(204844-206511) ; AL590451:204844-206586(-); error - start (206511/206586)
AL590445:c(157461-159125) ; AL590445:157461-159125(-); OK
AL590446:c(115331-116995) ; AL590446:115331-117025(-); error - start (116995/117025)
AL590442:c(157672-159333) ; AL590442:157672-159333(-); OK
AL590446:c(51177-52838) ; AL590446:51177-52838(-); OK
AL590449:c(64941-66602) ; AL590449:64941-66602(-); OK
AL590449:c(95081-96742) ; AL590449:95081-96790(-); error - start (96742/96790)
AL590447:156628-158280 ; AL590447:156559-158280(+); error - start (156628/156559)
AL590450:117316-118968 ; AL590450:117316-118968(+); OK
AL590450:c(33269-34918) ; AL590450:33269-34498(-); error - start (34918/34498)
AL590449:127936-129582 ; AL590449:127936-129582(+); OK
AL590449:185942-187588 ; AL590449:185936-187588(+); error - start (185942/185936)
AL590450:254399-256045 ; AL590450:254399-256045(+); OK
AL391737:c(67251-68888) ; ND ; ND
AL590442:173091-174725 ; AL590442:173124-174725(+); error - start (173091/173124)
AL590449:c(62041-63672) ; AL590449:62041-63672(-); OK
AL590449:110441-112072 ; AL590449:110459-112072(+); error - start (110441/110459)
AL590451:75755-77383 ; AL590451:76052-77383(+); error - start (75755/76052)
AL590443:c(23844-25466) ; AL590443:23844-25466(-); OK
AL590443:c(122756-124378) ; AL590443:122756-124378(-); OK
AL590445:98390-100012 ; AL590445:98417-100012(+); error - start (98390/98417)
AL590443:42356-43972 ; AL590443:42263-43972(+); error - start (42356/42263)
AL590450:c(70329-71942) ; AL590450:70329-71942(-); OK
AL590450:c(220783-222396) ; AL590450:220783-222396(-); OK
AL590448:61663-63273 ; AL590448:61615-63273(+); error - start (61663/61615)
AL590449:c(46776-48386) ; AL590449:46776-48386(-); OK
AL590443:c(141016-142623) ; AL590443:141016-142623(-); OK
AL590446:c(155894-157501) ; AL590446:155894-157519(-); error - start (157501/157519)
AL590450:c(68629-70236) ; AL590450:68629-70236(-); OK
AL590450:c(68629-70236) ; AL590450:115536-117143(-); error (68629/115536)(70236/117143)
AL590447:180856-182457 ; AL590447:180856-182457(+); OK
AL590446:c(137808-139406) ; AL590446:137808-139406(-); OK
AL590450:40082-41680 ; AL590450:40931-41680(+); error - start (40082/40931)
AL590443:c(102992-104587) ; AL590443:102992-104587(-); OK
AL590451:c(77832-79427) ; AL590451:77832-79130(-); error - start (79427/79130)
AL391737:82228-83820 ; ND ; ND
AL590450:215447-217039 ; AL590450:215447-217039(+); OK
AL590451:c(133647-135236) ; AL590451:133647-135251(-); error - start (135236/135251)
AL590442:c(46138-47724) ; AL590442:46138-47724(-); OK
AL590445:109599-111185 ; AL590445:109599-111185(+); OK
AL590446:41676-43262 ; AL590446:41676-43262(+); OK
AL590448:c(175859-177442) ; AL590448:175859-177496(-); error - start (177442/177496)
AL590451:13522-15105 ; AL590451:13522-15105(+); OK
AL590443:11401-12966 ; AL590443:11470-12966(+); error - start (11401/11470)
AL590443:c(107986-109551) ; AL590443:107986-109551(-); OK
AL590449:c(24862-26421) ; AL590449:24862-26421(-); OK
AL590450:c(225192-226751) ; AL590450:225192-226751(-); OK
AL590443:c(137981-139537) ; AL590443:137981-139537(-); OK
AL590446:202635-204188 ; AL590446:202635-204188(+); OK
AL590442:c(64391-65941) ; AL590442:64391-65941(-); OK
AL590448:50233-51780 ; AL590448:50233-51780(+); OK
AL590449:c(160665-162209) ; AL590449:160665-162209(-); OK
AL590449:c(199285-200829) ; AL590449:199285-200829(-); OK
AL590447:74819-76357 ; AL590447:74819-76357(+); OK
AL590449:c(43960-45498) ; AL590449:43960-45504(-); error - start (45498/45504)
AL590444:c(191601-193136) ; AL590444:191601-193178(-); error - start (193136/193178)
AL590449:c(77140-78675) ; AL590449:77140-78675(-); OK
AL590444:71424-72956 ; AL590444:71412-72956(+); error - start (71424/71412)
AL590445:35228-36760 ; AL590445:35228-36760(+); OK
AL590446:68080-69612 ; AL590446:68080-69612(+); OK
AL590442:115195-116724 ; AL590442:115195-116724(+); OK
AL590445:92993-94519 ; AL590445:92993-94519(+); OK
AL590451:c(62682-64208) ; AL590451:62682-64208(-); OK
AL590445:149389-150909 ; AL590445:149389-150909(+); OK
AL590442:c(89484-91001) ; AL590442:89484-91001(-); OK
AL590447:c(98116-99633) ; AL590447:98116-99633(-); OK
AL590442:82279-83790 ; AL590442:82279-83790(+); OK
AL590443:c(165419-166930) ; AL590443:165419-166930(-); OK
AL590446:c(60640-62148) ; AL590446:60640-62148(-); OK
AL590449:146083-147591 ; AL590449:146083-147591(+); OK
AL590442:161954-163459 ; AL590442:161954-163459(+); OK
AL590446:c(136217-137719) ; AL590446:136217-137719(-); OK
AL590450:35259-36761 ; AL590450:35259-36761(+); OK
AL590442:99020-100519 ; AL590442:99020-100519(+); OK
AL590446:c(195758-197257) ; AL590446:195758-197257(-); OK
AL590442:c(36862-38352) ; AL590442:36862-38352(-); OK
AL590449:184324-185814 ; AL590449:184324-185814(+); OK
AL590448:121124-122611 ; AL590448:121124-122611(+); OK
AL590449:c(37177-38664) ; AL590449:37177-38664(-); OK
AL590449:c(195918-197402) ; AL590449:195918-197402(-); OK
AL590442:c(107114-108595) ; AL590442:107114-108595(-); OK
AL590451:176268-177749 ; AL590451:176268-177749(+); OK
AL590450:c(100224-101705) ; AL590450:100224-101705(-); OK
AL590443:c(32199-33677) ; AL590443:32199-33677(-); OK
AL590451:c(183756-185234) ; AL590451:183756-185234(-); OK
AL590444:c(17593-19068) ; AL590444:17593-19068(-); OK
AL590449:141391-142866 ; AL590449:141355-142866(+); error - start (141391/141355)
AL590442:49899-51371 ; AL590442:49899-51371(+); OK
AL590442:119334-120806 ; AL590442:119334-120806(+); OK
AL590445:c(26348-27820) ; AL590445:26348-27820(-); OK
AL590446:c(186702-188174) ; AL590446:186702-188174(-); OK
AL590447:c(58176-59648) ; AL590447:58176-59648(-); OK
AL590451:25125-26594 ; AL590451:25125-26594(+); OK
AL590442:167041-168504 ; AL590442:167041-168504(+); OK
AL590446:160986-162449 ; AL590446:160986-162449(+); OK
AL590451:189457-190920 ; AL590451:189451-190920(+); error - start (189457/189451)
AL590442:c(78383-79843) ; AL590442:78383-79843(-); OK
AL590449:244093-245553 ; AL590449:244093-245553(+); OK
AL590444:135016-136473 ; AL590444:135016-136473(+); OK
AL590442:c(61178-62632) ; AL590442:61178-62632(-); OK
AL590447:100312-101760 ; AL590447:100297-101760(+); error - start (100312/100297)
AL590448:190660-192105 ; AL590448:190639-192105(+); error - start (190660/190639)
AL590448:c(57492-58934) ; AL590448:57492-58934(-); OK
AL590450:c(235585-237021) ; AL590450:235585-237072(-); error - start (237021/237072)
AL391737:130833-132266 ; ND ; ND
AL590451:c(107048-108481) ; AL590451:107048-108481(-); OK
AL590449:139227-140660 ; AL590449:139227-140660(+); OK
AL590450:132276-133709 ; AL590450:132276-133709(+); OK
AL590445:102253-103680 ; AL590445:102253-103680(+); OK
AL590447:196124-197551 ; AL590447:196163-197551(+); error - start (196124/196163)
AL590450:c(145772-147199) ; AL590450:145772-147199(-); OK
AL590450:196430-197857 ; AL590450:196430-197857(+); OK
AL590444:106495-107919 ; AL590444:106543-107919(+); error - start (106495/106543)
AL590451:join(16738..16744,16778..18195) ; AL590451:16972-18195(+); error (106495/16972)(107919/18195)
AL590446:c(105760-107181) ; AL590446:105760-107181(-); OK
AL391737:79055-80473 ; ND ; ND
AL590443:117275-118690 ; AL590443:117275-118690(+); OK
AL590444:143627-145042 ; AL590444:143525-145042(+); error - start (143627/143525)
AL590443:18891-20294 ; AL590443:18891-20294(+); OK
AL590448:c(164951-166354) ; AL590448:164951-166354(-); OK
AL590450:c(233996-235399) ; AL590450:233996-235399(-); OK
AL590444:126603-128003 ; AL590444:126603-128003(+); OK
AL590448:24972-26372 ; AL590448:24945-26372(+); error - start (24972/24945)
AL590448:c(223792-225192) ; AL590448:223792-225192(-); OK
