PROTEOME ; PRODIGAL ; ERROR PRODIGAL
ABGB01000019:c(9701-11413) ; NW_003102620:3-413(+); error (9701/3)(11413/413)
ABGB01000019:c(9701-11413) ; NW_003102067:9701-11413(-); OK
ABGB01000019:c(43209-44921) ; NW_003102067:43209-44921(-); OK
ABGB01000023:c(28634-30343) ; NW_003102071:28634-30343(-); OK
ABGB01000021:c(22315-24021) ; NW_003102069:22315-24021(-); OK
ABGB01000002:93351-95054 ; NW_001849446:111255-112958(+); error (93351/111255)(95054/112958)
ABGB01000028:1772-3475 ; NW_003102076:1772-3475(+); OK
ABGB01000002:22048-23748 ; NW_001849446:39952-41652(+); error (22048/39952)(23748/41652)
ABGB01000014:111910-113607 ; NW_003102062:111910-113607(+); OK
ABGB01000016:c(3222-4916) ; NW_003102064:3222-4916(-); OK
ABGB01000034:15068-16762 ; NW_003102082:15068-16762(+); OK
ABGB01000055:1183-2877 ; NW_003102103:1183-2877(+); OK
ABGB01000016:103105-104793 ; NW_003102064:103105-104793(+); OK
ABGB01000023:15299-16987 ; NW_003102071:15299-16987(+); OK
ABGB01000004:c(77411-79093) ; NW_001849444:2476-4158(+); error (77411/2476)(79093/4158)
ABGB01000029:1765-3447 ; NW_003102077:1765-3447(+); OK
ABGB01000020:c(18953-20632) ; NW_003102068:18953-20611(-); error - start (20632/20611)
ABGB01000023:c(17008-18687) ; NW_003102071:17008-18639(-); error - start (18687/18639)
ABGB01000015:19387-21060 ; NW_003102063:19387-21060(+); OK
ABGB01000032:c(17548-19218) ; NW_003102080:17548-19293(-); error - start (19218/19293)
ABGB01000033:c(9632-11302) ; NW_003102081:9632-11302(-); OK
ABGB01000034:8115-9782 ; NW_003102082:8115-9782(+); OK
ABGB01000029:c(10418-12076) ; NW_003102077:10418-12076(-); OK
ABGB01000031:c(1799-3451) ; NW_003102079:1799-3451(-); OK
ABGB01000004:c(46758-48404) ; NW_001849444:33165-34811(+); error (46758/33165)(48404/34811)
ABGB01000002:14067-15707 ; NW_001849446:31971-33611(+); error (14067/31971)(15707/33611)
ABGB01000002:c(72049-73686) ; NW_001849446:89953-91590(-); error (72049/89953)(73686/91590)
ABGB01000015:c(93187-94824) ; NW_003102063:93187-94767(-); error - start (94824/94767)
ABGB01000002:c(81811-83445) ; NW_001849446:99715-101349(-); error (81811/99715)(83445/101349)
ABGB01000002:45906-47534 ; NW_001849446:63810-65438(+); error (45906/63810)(47534/65438)
ABGB01000029:7561-9183 ; NW_003102077:7573-9183(+); error - start (7561/7573)
ABGB01000024:c(29562-31175) ; NW_003102072:29562-31175(-); OK
ABGB01000042:c(6538-8148) ; NW_003102090:6538-8148(-); OK
ABGB01000017:2430-4037 ; NW_003103119:3-806(-); error (2430/3)(4037/806)
ABGB01000017:2430-4037 ; NW_003102065:2430-4037(+); OK
ABGB01000001:11704-13305 ; NW_001849444:190792-192393(-); error (11704/190792)(13305/192393)
ABGB01000002:74355-75950 ; NW_001849446:92292-93854(+); error (74355/92292)(75950/93854)
ABGB01000003:46842-48437 ; NW_001849445:90268-91863(+); error (46842/90268)(48437/91863)
ABGB01000032:c(10285-11874) ; NW_003102080:10285-11874(-); OK
ABGB01000016:24197-25783 ; NW_003102064:24197-25783(+); OK
ABGB01000017:c(38471-40057) ; NW_003102065:38471-40057(-); OK
ABGB01000047:563-2149 ; NW_003102095:563-2149(+); OK
ABGB01000001:42769-44352 ; NW_001849444:159745-161328(-); error (42769/159745)(44352/161328)
ABGB01000038:5540-7120 ; NW_003102086:5540-7120(+); OK
ABGB01000041:c(4056-5636) ; NW_003102089:4056-5636(-); OK
ABGB01000045:1826-3406 ; NW_003102093:1841-3406(+); error - start (1826/1841)
ABGB01000017:c(17815-19392) ; NW_003102065:17815-19392(-); OK
ABGB01000024:20967-22541 ; NW_003102072:20967-22541(+); OK
ABGB01000044:4523-6097 ; NW_003102092:4523-6097(+); OK
ABGB01000014:18841-20409 ; NW_003102062:18841-20409(+); OK
ABGB01000021:c(25980-27542) ; NW_003102069:25980-27542(-); OK
ABGB01000002:c(29888-31444) ; NW_001849446:47792-49348(-); error (29888/47792)(31444/49348)
ABGB01000020:33879-35435 ; NW_003102068:33879-35435(+); OK
ABGB01000018:49529-51082 ; NW_003102066:49529-51082(+); OK
ABGB01000018:57779-59326 ; NW_003102066:57779-59326(+); OK
ABGB01000047:c(3881-5428) ; NW_003102095:3881-5428(-); OK
ABGB01000002:18966-20510 ; NW_001849446:36870-38414(+); error (18966/36870)(20510/38414)
ABGB01000023:c(9396-10940) ; NW_003102071:9396-10901(-); error - start (10940/10901)
ABGB01000027:c(25071-26603) ; NW_003102075:25071-26603(-); OK
ABGB01000019:7656-9185 ; NW_003102445:62-496(-); error (7656/62)(9185/496)
ABGB01000019:7656-9185 ; NW_003102067:7656-9185(+); OK
ABGB01000034:19905-21434 ; NW_003102082:19905-21434(+); OK
ABGB01000015:c(2442-3965) ; NW_003102063:2442-3965(-); OK
ABGB01000022:c(25655-27178) ; NW_003102070:25655-27178(-); OK
ABGB01000018:c(60627-62141) ; NW_003102066:60627-62141(-); OK
ABGB01000002:c(87056-88567) ; NW_001849446:104960-106471(-); error (87056/104960)(88567/106471)
ABGB01000028:c(4378-5889) ; NW_003102076:4378-5889(-); OK
ABGB01000002:91343-92848 ; NW_001849446:109247-110752(+); error (91343/109247)(92848/110752)
ABGB01000015:68939-70444 ; NW_003102063:68939-70444(+); OK
ABGB01000017:4795-6300 ; NW_003102065:4795-6300(+); OK
ABGB01000031:c(3510-5015) ; NW_003102079:3510-5015(-); OK
ABGB01000033:c(6111-7613) ; NW_003102081:6111-7613(-); OK
ABGB01000016:48499-49998 ; NW_003102064:48499-49998(+); OK
ABGB01000002:3789-5285 ; NW_001849446:21693-23189(+); error (3789/21693)(5285/23189)
ABGB01000015:72161-73657 ; NW_003102063:72161-73657(+); OK
ABGB01000032:c(16010-17503) ; NW_003102080:16010-17503(-); OK
ABGB01000040:c(4093-5586) ; NW_003102088:4093-5586(-); OK
ABGB01000178:234-1724 ; NW_003102226:234-1724(+); OK
ABGB01000016:31907-33394 ; NW_003102064:31907-33394(+); OK
ABGB01000034:9867-11354 ; NW_003102082:9858-11354(+); error - start (9867/9858)
ABGB01000014:52366-53850 ; NW_003102062:52366-53850(+); OK
ABGB01000015:5807-7291 ; NW_003102063:5807-7291(+); OK
ABGB01000040:12189-13667 ; NW_003102088:12189-13667(+); OK
ABGB01000009:c(452-1924) ; NW_001849446:15772-17430(-); error (452/15772)(1924/17430)
ABGB01000014:11395-12867 ; NW_003102062:11395-12867(+); OK
ABGB01000019:c(20903-22375) ; NW_003102067:20903-22375(-); OK
ABGB01000027:c(6936-8405) ; NW_003102075:6936-8405(-); OK
ABGB01000017:c(72565-74031) ; NW_003102065:72565-74031(-); OK
ABGB01000023:30431-31897 ; NW_003102071:30476-31897(+); error - start (30431/30476)
ABGB01000045:5609-7075 ; NW_003102093:5609-7075(+); OK
ABGB01000014:26847-28310 ; NW_003102062:26847-28310(+); OK
ABGB01000020:52368-53831 ; NW_003102068:52368-53831(+); OK
ABGB01000014:62071-63531 ; NW_003102062:62086-63531(+); error - start (62071/62086)
ABGB01000018:c(43756-45216) ; NW_003102066:43756-45216(-); OK
ABGB01000003:c(73105-74559) ; NW_001849445:116531-117985(-); error (73105/116531)(74559/117985)
ABGB01000016:42724-44178 ; NW_003102064:42724-44178(+); OK
ABGB01000046:2378-3826 ; NW_003102094:2378-3826(+); OK
ABGB01000018:3823-5268 ; NW_003102066:3823-5268(+); OK
ABGB01000044:c(6225-7670) ; NW_003102092:6225-7670(-); OK
ABGB01000005:c(98-1540) ; NW_001849445:98-1540(-); OK
ABGB01000018:c(30594-32033) ; NW_003102066:30594-32033(-); OK
ABGB01000019:45054-46490 ; NW_003102067:45147-46490(+); error - start (45054/45147)
ABGB01000061:1571-3007 ; NW_003102109:1571-3007(+); OK
ABGB01000015:86975-88405 ; NW_003102063:86975-88405(+); OK
ABGB01000003:c(21814-23238) ; NW_001849445:65240-66730(-); error (21814/65240)(23238/66730)
ABGB01000015:74719-76143 ; NW_003102063:74719-76143(+); OK
ABGB01000016:75356-76780 ; NW_003102064:75356-76780(+); OK
ABGB01000014:69593-71014 ; NW_003102062:69593-71014(+); OK
ABGB01000015:62532-63953 ; NW_003102063:62532-63953(+); OK
ABGB01000015:c(77207-78628) ; NW_003102063:77207-78628(-); OK
ABGB01000018:c(25131-26552) ; NW_003102066:25131-26552(-); OK
ABGB01000001:c(72264-73682) ; NW_001849444:130415-131833(+); error (72264/130415)(73682/131833)
ABGB01000017:c(51106-52524) ; NW_003102065:51106-52524(-); OK
ABGB01000004:c(48420-49835) ; NW_001849444:31734-33149(+); error (48420/31734)(49835/33149)
ABGB01000023:20945-22357 ; NW_003102071:20945-22357(+); OK
ABGB01000046:3870-5279 ; NW_003102094:3870-5279(+); OK
ABGB01000003:5899-7305 ; NW_001849445:49325-50731(+); error (5899/49325)(7305/50731)
ABGB01000020:12530-13936 ; NW_003102068:12509-13936(+); error - start (12530/12509)
ABGB01000029:c(3770-5176) ; NW_003102077:3770-5176(-); OK
ABGB01000030:18940-20346 ; NW_003102078:18940-20346(+); OK
ABGB01000035:c(13497-14903) ; NW_003102083:13497-14903(-); OK
ABGB01000016:40209-41612 ; NW_003102064:40209-41612(+); OK
ABGB01000036:8527-9930 ; NW_003102084:8527-9930(+); OK
ABGB01000014:c(87806-89206) ; NW_003102062:87806-89161(-); error - start (89206/89161)
ABGB01000159:359-1759 ; NW_003102601:554-1318(-); error (359/554)(1759/1318)
ABGB01000159:359-1759 ; NW_003102207:359-1759(+); OK
ABGB01000018:c(48032-49423) ; NW_003102066:48032-49423(-); OK
ABGB01000020:c(45562-46950) ; NW_003102068:45562-46950(-); OK
ABGB01000033:c(13643-15031) ; NW_003102081:13643-15031(-); OK
ABGB01000035:19128-20510 ; NW_003102083:19128-20510(+); OK
ABGB01000005:c(34624-36000) ; NW_001849445:34624-36000(-); OK
ABGB01000057:313-1689 ; NW_003102105:313-1689(+); OK
ABGB01000018:c(64301-65671) ; NW_003102066:64301-65671(-); OK
ABGB01000040:c(2637-4007) ; NW_003102088:2637-4007(-); OK
ABGB01000080:387-1757 ; NW_003102128:387-1757(+); OK
ABGB01000014:83455-84822 ; NW_003102062:83455-84822(+); OK
ABGB01000020:c(32448-33815) ; NW_003102455:844-1242(-); error (32448/844)(33815/1242)
ABGB01000020:c(32448-33815) ; NW_003102068:32448-33704(-); error - start (33815/33704)
ABGB01000029:13019-14386 ; NW_003102077:13019-14386(+); OK
ABGB01000022:c(16377-17741) ; NW_003102070:16377-17741(-); OK
ABGB01000005:c(8868-10229) ; NW_001849445:8868-10229(-); OK
ABGB01000001:99620-100978 ; NW_001849444:103119-104552(-); error (99620/103119)(100978/104552)
ABGB01000020:37038-38396 ; NW_003102068:37038-38396(+); OK
ABGB01000014:3765-5117 ; NW_003102062:3765-5117(+); OK
ABGB01000027:c(2668-4020) ; NW_003102075:2668-4020(-); OK
ABGB01000016:59574-60923 ; NW_003102064:59574-60923(+); OK
ABGB01000001:55738-57084 ; NW_001849444:147013-148359(-); error (55738/147013)(57084/148359)
ABGB01000001:109854-111200 ; NW_001849444:92897-94243(-); error (109854/92897)(111200/94243)
ABGB01000016:7200-8543 ; NW_003102064:7200-8543(+); OK
ABGB01000020:c(47038-48381) ; NW_003102068:47038-48381(-); OK
ABGB01000026:c(9106-10446) ; NW_003102074:9106-10446(-); OK
ABGB01000018:c(66760-68097) ; NW_003102066:66760-68160(-); error - start (68097/68160)
ABGB01000106:c(450-1787) ; NW_003102154:450-1787(-); OK
ABGB01000002:c(64825-66159) ; NW_001849446:82729-84063(-); error (64825/82729)(66159/84063)
ABGB01000004:c(81-1412) ; NW_001849444:80157-81488(+); error (81/80157)(1412/81488)
ABGB01000004:c(1485-2816) ; NW_001849444:78753-80084(+); error (1485/78753)(2816/80084)
ABGB01000003:58528-59856 ; NW_001849445:101954-103282(+); error (58528/101954)(59856/103282)
ABGB01000020:c(5576-6904) ; NW_003102068:5576-6904(-); OK
ABGB01000034:c(11374-12702) ; NW_003102082:11374-12702(-); OK
ABGB01000001:c(17331-18647) ; NW_001849444:185450-186766(+); error (17331/185450)(18647/186766)
ABGB01000003:c(76214-77530) ; NW_001849445:119640-120956(-); error (76214/119640)(77530/120956)
ABGB01000038:c(13889-15205) ; NW_003102086:13889-15205(-); OK
ABGB01000014:105349-106662 ; NW_003102062:105349-106662(+); OK
ABGB01000032:c(5972-7285) ; NW_003102080:5972-7285(-); OK
ABGB01000026:c(5300-6607) ; NW_003102074:5300-6607(-); OK
ABGB01000035:8598-9905 ; NW_003102083:8598-9905(+); OK
ABGB01000001:68010-69314 ; NW_001849444:134783-136087(-); error (68010/134783)(69314/136087)
ABGB01000036:c(7195-8499) ; NW_003102084:7195-8499(-); OK
ABGB01000014:c(85399-86700) ; NW_003102062:85399-86700(-); OK
ABGB01000034:c(18449-19750) ; NW_003102082:18449-19750(-); OK
ABGB01000019:c(26250-27545) ; NW_003102067:26250-27545(-); OK
ABGB01000027:22833-24128 ; NW_003102075:22833-24128(+); OK
ABGB01000002:84954-86240 ; NW_001849446:102858-104144(+); error (84954/102858)(86240/104144)
ABGB01000025:c(10508-11791) ; NW_003102073:10508-11791(-); OK
ABGB01000028:c(20272-21555) ; NW_003102076:20272-21555(-); OK
