PROTEOME ; FUNANNOTATE ; ERROR FUNANNOTATE
JH605031:c(51472-54537) ; JH6050:51472-54609(-); error - start (54537/54609)
JH605024:433213-436266 ; JH6050:433198-436266(+); error - start (433213/433198)
JH605025:c(547277-550312) ; JH6050:547277-550312(-); OK
JH605023:333679-336711 ; JH6050:333700-336711(+); error - start (333679/333700)
JH605028:c(138800-141832) ; ND ; ND
JH605025:c(160270-163299) ; JH6050:160270-163299(-); OK
JH605024:c(10828-13854) ; JH6050:10828-13761(-); error - start (13854/13761)
JH605032:c(7193-10213) ; JH6050:7193-10213(-); OK
JH605026:172487-175501 ; JH6050:172487-175501(+); OK
JH605030:125293-128307 ; JH6050:125293-128307(+); OK
JH605024:193441-196452 ; JH6050:193441-196452(+); OK
JH605034:c(3946-6951) ; JH6050:5413-6897(-); error (3946/5413)(6951/6897)
JH605025:c(443394-446393) ; JH6050:443394-446393(-); OK
JH605026:c(69097-72096) ; JH6050:69097-72096(-); OK
JH605024:c(213388-216378) ; JH6050:213388-216390(-); error - start (216378/216390)
JH605029:101972-104962 ; JH6050:101972-104755(+); error - end (104962/104755)
JH605023:c(394916-397903) ; JH6050:394916-397903(-); OK
JH605023:c(1005-3989) ; JH6050:1005-3872(-); error - start (3989/3872)
JH605032:18552-21536 ; JH6050:18501-21536(+); error - start (18552/18501)
JH605023:481940-484921 ; JH6050:481940-484921(+); OK
JH605025:c(260858-263827) ; ND ; ND
JH605025:c(293985-296951) ; JH6050:293985-296951(-); OK
JH605027:c(11024-13987) ; JH6050:11024-13987(-); OK
JH605027:c(11024-13987) ; JH6050:4331-4669(-); error (11024/4331)(13987/4669)
JH605024:c(436450-439410) ; JH6050:436450-439368(-); error - start (439410/439368)
JH605037:c(906-3863) ; JH6050:906-2669(-); error - start (3863/2669)
JH605023:241695-244637 ; JH6050:241695-244637(+); OK
JH605028:c(319195-322137) ; JH6050:319195-322137(-); OK
JH605026:c(450776-453706) ; JH6050:450776-453706(-); OK
JH605027:c(210923-213853) ; ND ; ND
JH605023:c(8221-11145) ; JH6050:8221-11145(-); OK
JH605023:943009-945933 ; JH6050:943009-945933(+); OK
JH605024:c(142014-144932) ; JH6050:142014-144932(-); OK
JH605025:c(391984-394902) ; ND ; ND
JH605024:c(337574-340489) ; JH6050:337574-340489(-); OK
JH605025:428242-431148 ; JH6050:428242-431148(+); OK
JH605026:c(365896-368802) ; JH6050:365896-368802(-); OK
JH605023:896872-899775 ; JH6050:896872-899775(+); OK
JH605032:c(3772-6675) ; JH6050:3772-6669(-); error - start (6675/6669)
JH605023:c(365888-368788) ; JH6050:365888-368788(-); OK
JH605030:130252-133146 ; JH6050:130252-133146(+); OK
JH605025:424508-427399 ; JH6050:424607-427399(+); error - start (424508/424607)
JH605025:c(279534-282422) ; ND ; ND
JH605023:c(71949-74831) ; ND ; ND
JH605023:c(462604-465486) ; JH6050:462604-465486(-); OK
JH605025:152434-155310 ; JH6050:152434-155310(+); OK
JH605027:356383-359256 ; ND ; ND
JH605024:c(447442-450312) ; JH6050:447442-450312(-); OK
JH605024:344956-347823 ; JH6050:344950-347823(+); error - start (344956/344950)
JH605030:133636-136503 ; JH6050:133636-136503(+); OK
JH605023:52322-55177 ; ND ; ND
JH605028:106552-109407 ; JH6050:106552-109407(+); OK
JH605023:389894-392746 ; ND ; ND
JH605023:91892-94741 ; JH6050:91892-94741(+); OK
JH605024:577562-580411 ; JH6050:577562-580411(+); OK
JH605027:c(19530-22379) ; JH6050:19530-22379(-); OK
JH605029:13958-16807 ; JH6050:13958-16807(+); OK
JH605023:c(513054-515897) ; ND ; ND
JH605023:c(845395-848238) ; JH6050:845395-848238(-); OK
JH605025:c(5965-8808) ; JH6050:5965-8808(-); OK
JH605025:132292-135135 ; JH6050:132292-135135(+); OK
JH605028:71626-74469 ; JH6050:71626-74469(+); OK
JH605028:130254-133097 ; JH6050:130254-133097(+); OK
JH605023:233277-236108 ; JH6050:233277-236108(+); OK
JH605026:c(76959-79790) ; JH6050:76959-79790(-); OK
JH605027:c(7438-10266) ; JH6050:7438-10266(-); OK
JH605027:c(7438-10266) ; JH6050:759-3587(-); error (7438/759)(10266/3587)
JH605038:c(759-3587) ; ND ; ND
JH605028:c(527-3349) ; JH6050:527-3337(-); error - start (3349/3337)
JH605040:c(518-3340) ; JH6050:518-3328(-); error - start (3340/3328)
JH605026:c(533886-536705) ; ND ; ND
JH605023:56018-58831 ; ND ; ND
JH605025:521282-524089 ; JH6050:521282-524089(+); OK
JH605026:c(165567-168374) ; JH6050:165567-168374(-); OK
JH605023:c(23847-26648) ; JH6050:23847-26648(-); OK
JH605027:c(290814-293612) ; JH6050:290814-293612(-); OK
JH605029:38091-40886 ; JH6050:38091-40886(+); OK
JH605031:c(37992-40784) ; JH6050:37992-40784(-); OK
JH605023:928619-931405 ; JH6050:928619-931405(+); OK
JH605023:337812-340595 ; JH6050:337812-339255(+); error - end (340595/339255)
JH605028:c(20251-23031) ; JH6050:20251-23031(-); OK
JH605024:c(5285-8062) ; JH6050:5285-7990(-); error - start (8062/7990)
JH605025:636307-639081 ; ND ; ND
JH605031:c(34315-37089) ; JH6050:34315-37077(-); error - start (37089/37077)
JH605026:c(312052-314823) ; JH6050:312052-314811(-); error - start (314823/314811)
JH605024:188720-191488 ; JH6050:188720-191488(+); OK
JH605023:270945-273707 ; JH6050:270957-273645(+); error (270945/270957)(273707/273645)
JH605023:341753-344503 ; JH6050:341753-344503(+); OK
JH605027:c(86257-89007) ; JH6050:86257-89007(-); OK
JH605024:c(544145-546889) ; JH6050:544145-546889(-); OK
JH605025:c(568843-571587) ; JH6050:568843-571557(-); error - start (571587/571557)
JH605027:c(25570-28314) ; ND ; ND
JH605031:c(56585-59329) ; JH6050:56585-59329(-); OK
JH605026:c(371855-374596) ; JH6050:371855-374596(-); OK
JH605023:c(151705-154440) ; JH6050:151705-154440(-); OK
JH605023:c(288963-291695) ; JH6050:288963-291536(-); error - start (291695/291536)
JH605028:c(207557-210289) ; JH6050:208982-210289(-); error - end (207557/208982)
JH605023:c(487362-490091) ; JH6050:487362-490091(-); OK
JH605026:c(321389-324118) ; JH6050:321389-324016(-); error - start (324118/324016)
JH605033:c(3947-6673) ; JH6050:3947-6619(-); error - start (6673/6619)
JH605023:c(787671-790394) ; JH6050:787671-790394(-); OK
JH605026:219272-221995 ; JH6050:219287-220743(+); error (219272/219287)(221995/220743)
JH605027:c(208037-210760) ; ND ; ND
JH605025:c(178261-180981) ; JH6050:178261-180981(-); OK
JH605024:c(1874-4588) ; JH6050:1874-4588(-); OK
JH605025:451103-453817 ; JH6050:451103-453817(+); OK
JH605025:c(589162-591876) ; JH6050:589162-591876(-); OK
JH605023:328649-331360 ; JH6050:328649-331360(+); OK
JH605026:214923-217631 ; ND ; ND
JH605031:c(15918-18626) ; JH6050:15918-18560(-); error - start (18626/18560)
JH605027:c(340301-343000) ; ND ; ND
JH605023:c(914895-917591) ; JH6050:914912-917612(-); error (914895/914912)(917591/917612)
JH605029:c(19797-22493) ; JH6050:19797-22493(-); OK
JH605028:c(258695-261379) ; JH6050:258695-261379(-); OK
JH605024:c(464221-466902) ; JH6050:464221-466851(-); error - start (466902/466851)
JH605023:311951-314620 ; JH6050:311951-314620(+); OK
JH605023:c(4946-7612) ; JH6050:4946-7570(-); error - start (7612/7570)
JH605025:c(345106-347769) ; JH6050:345106-347769(-); OK
JH605026:c(415680-418340) ; JH6050:415852-418340(-); error - end (415680/415852)
JH605024:155906-158563 ; JH6050:155906-158563(+); OK
JH605029:97596-100250 ; ND ; ND
JH605023:383874-386525 ; JH6050:383874-386525(+); OK
JH605024:291116-293747 ; JH6050:291098-293746(+); error (291116/291098)(293747/293746)
JH605024:670033-672681 ; ND ; ND
JH605026:c(81582-84230) ; JH6050:81582-84230(-); OK
JH605023:932626-935268 ; JH6050:932665-935268(+); error - start (932626/932665)
JH605026:342269-344911 ; JH6050:342353-344911(+); error - start (342269/342353)
JH605025:381207-384533 ; ND ; ND
JH605023:906799-909435 ; JH6050:906799-909435(+); OK
JH605025:28894-31530 ; JH6050:28894-31530(+); OK
JH605025:174196-176829 ; JH6050:174151-176829(+); error - start (174196/174151)
JH605026:31400-34033 ; JH6050:31400-34033(+); OK
JH605027:106457-109081 ; JH6050:106457-109081(+); OK
JH605023:360658-363279 ; JH6050:360658-363279(+); OK
JH605026:c(501970-504588) ; ND ; ND
JH605023:466040-468652 ; JH6050:466040-468652(+); OK
JH605023:645280-647892 ; ND ; ND
JH605025:529692-532301 ; ND ; ND
JH605027:c(373772-376381) ; ND ; ND
JH605023:c(777088-779694) ; JH6050:777088-779694(-); OK
JH605023:c(516087-518690) ; ND ; ND
JH605024:c(21470-24067) ; JH6050:21470-24028(-); error - start (24067/24028)
JH605023:c(771861-774455) ; ND ; ND
JH605023:c(648258-650843) ; JH6050:648258-650843(-); OK
JH605026:c(157712-160297) ; JH6050:157712-160297(-); OK
JH605028:210606-213191 ; JH6050:210606-213191(+); OK
JH605025:c(513250-515832) ; JH6050:513250-515832(-); OK
JH605026:303980-306556 ; JH6050:303980-306556(+); OK
JH605025:c(328901-331474) ; JH6050:328901-331474(-); OK
JH605030:102171-104744 ; JH6050:102732-103463(+); error (102171/102732)(104744/103463)
JH605023:c(622054-624621) ; JH6050:622054-624468(-); error - start (624621/624468)
JH605023:797384-799945 ; JH6050:797384-799945(+); OK
JH605026:c(358466-361024) ; JH6050:358466-361024(-); OK
JH605026:c(485545-488103) ; ND ; ND
JH605024:c(298254-300809) ; JH6050:298254-300809(-); OK
JH605024:c(590524-593076) ; JH6050:590524-591675(-); error - start (593076/591675)
JH605026:457039-459576 ; JH6050:457039-459576(+); OK
JH605024:325778-328312 ; JH6050:325835-328312(+); error - start (325778/325835)
JH605025:c(273899-276424) ; ND ; ND
JH605023:687178-690174 ; ND ; ND
JH605026:187205-189718 ; JH6050:187085-189718(+); error - start (187205/187085)
JH605025:c(46233-48743) ; JH6050:46233-48743(-); OK
JH605027:c(297830-300328) ; JH6050:297830-300328(-); OK
JH605027:c(1-2465) ; ND ; ND
JH605024:c(169969-172425) ; JH6050:169969-172425(-); OK
JH605024:332592-335045 ; ND ; ND
JH605023:676517-678964 ; JH6050:677489-677985(+); error (676517/677489)(678964/677985)
JH605023:949499-951943 ; JH6050:949592-951943(+); error - start (949499/949592)
JH605029:90004-92466 ; JH6050:90022-90887(+); error (90004/90022)(92466/90887)
JH605023:850355-852793 ; JH6050:850355-852793(+); OK
JH605030:c(77500-79935) ; JH6050:77500-79935(-); OK
JH605023:c(374776-377202) ; JH6050:374776-377202(-); OK
JH605028:c(4838-7264) ; ND ; ND
JH605030:c(1849-4275) ; JH6050:1849-4275(-); OK
JH605025:c(112139-114562) ; ND ; ND
JH605024:c(641185-643599) ; ND ; ND
JH605023:96571-98979 ; JH6050:96571-98979(+); OK
JH605023:c(803772-806177) ; JH6050:803772-806177(-); OK
JH605025:c(1-2399) ; JH6050:1037-2392(-); error (1/1037)(2399/2392)
JH605023:c(77819-80209) ; ND ; ND
JH605023:c(470034-472424) ; JH6050:470034-472424(-); OK
JH605028:c(200834-203221) ; JH6050:200834-202147(-); error - start (203221/202147)
JH605031:c(20342-22729) ; JH6050:20342-21766(-); error - start (22729/21766)
JH605024:c(258103-260481) ; JH6050:258103-260481(-); OK
JH605028:c(98383-100755) ; ND ; ND
JH605028:c(248960-251332) ; JH6050:248960-251332(-); OK
JH605028:c(253400-255769) ; JH6050:253400-255769(-); OK
JH605023:673644-676010 ; JH6050:673671-676010(+); error - start (673644/673671)
JH605024:644555-646918 ; ND ; ND
JH605026:c(350439-352799) ; JH6050:350439-352799(-); OK
JH605025:540881-543226 ; ND ; ND
JH605028:c(192185-194524) ; JH6050:192185-194524(-); OK
JH605026:c(315883-318258) ; JH6050:315883-318219(-); error - start (318258/318219)
JH605024:c(128727-131060) ; JH6050:128727-131135(-); error - start (131060/131135)
JH605027:387499-389829 ; JH6050:387499-389829(+); OK
JH605023:c(322998-325325) ; JH6050:322998-325325(-); OK
JH605026:c(104902-107229) ; JH6050:104902-107229(-); OK
JH605025:c(13016-15337) ; JH6050:13016-15337(-); OK
JH605031:c(30927-33236) ; JH6050:30927-33236(-); OK
JH605023:419885-422188 ; JH6050:419885-422188(+); OK
JH605026:c(148988-151288) ; JH6050:148988-151195(-); error - start (151288/151195)
JH605026:98300-100597 ; JH6050:98300-100597(+); OK
JH605027:183972-186260 ; ND ; ND
JH605029:114920-117208 ; ND ; ND
JH605023:144856-147141 ; JH6050:144856-147141(+); OK
JH605025:22218-24503 ; JH6050:22218-24503(+); OK
JH605029:c(32294-34576) ; JH6050:32294-34576(-); OK
JH605026:44239-46515 ; JH6050:44239-46515(+); OK
JH605024:566364-568631 ; JH6050:566364-568631(+); OK
JH605026:c(527521-529779) ; ND ; ND
JH605027:c(38591-40849) ; JH6050:38591-40900(-); error - start (40849/40900)
JH605023:889233-891488 ; JH6050:889233-891488(+); OK
JH605024:234525-236774 ; ND ; ND
JH605023:c(208646-210886) ; JH6050:208646-210886(-); OK
JH605024:532827-535067 ; JH6050:532881-535067(+); error - start (532827/532881)
JH605025:254573-256810 ; ND ; ND
JH605024:118271-120505 ; JH6050:118271-120505(+); OK
JH605025:c(156645-158867) ; JH6050:156645-158867(-); OK
JH605026:161414-163636 ; ND ; ND
JH605025:c(466624-468843) ; JH6050:466624-468843(-); OK
JH605025:594759-596978 ; JH6050:594759-596978(+); OK
JH605024:c(538445-540655) ; JH6050:538445-540655(-); OK
JH605025:196172-198382 ; JH6050:196172-198382(+); OK
JH605027:c(31043-33244) ; JH6050:32163-33244(-); error - end (31043/32163)
JH605028:263157-265352 ; JH6050:263307-265352(+); error - start (263157/263307)
JH605023:629106-631298 ; JH6050:629106-631298(+); OK
JH605025:c(297062-299254) ; JH6050:297062-299254(-); OK
JH605030:c(15574-17766) ; JH6050:15574-17727(-); error - start (17766/17727)
JH605023:c(68650-70839) ; ND ; ND
JH605023:c(562737-564926) ; JH6050:562737-564926(-); OK
JH605025:c(163923-166112) ; JH6050:163923-166112(-); OK
JH605028:c(103060-105249) ; JH6050:103060-105249(-); OK
JH605023:c(132865-135051) ; ND ; ND
JH605025:c(348391-350574) ; JH6050:348391-350817(-); error - start (350574/350817)
JH605033:c(11043-13226) ; JH6050:11105-13214(-); error (11043/11105)(13226/13214)
JH605023:900573-902747 ; JH6050:900573-902747(+); OK
JH605029:c(11067-13241) ; JH6050:11067-13241(-); OK
JH605023:946411-948579 ; JH6050:946411-948579(+); OK
JH605026:c(194042-196210) ; JH6050:194042-196210(-); OK
JH605023:903402-905567 ; JH6050:903402-905567(+); OK
JH605023:920992-923157 ; JH6050:920992-923157(+); OK
JH605024:274686-276851 ; JH6050:274686-276851(+); OK
JH605025:c(563307-565469) ; JH6050:563307-565334(-); error - start (565469/565334)
JH605028:36500-38656 ; JH6050:36500-38656(+); OK
JH605024:c(16296-18449) ; JH6050:16296-18449(-); OK
JH605025:c(227190-229343) ; JH6050:227190-229343(-); OK
JH605023:923625-925775 ; JH6050:923625-925775(+); OK
JH605025:207257-209407 ; JH6050:207209-209407(+); error - start (207257/207209)
JH605025:421564-423714 ; ND ; ND
JH605023:c(320384-322531) ; JH6050:320384-322531(-); OK
JH605027:c(180539-182680) ; ND ; ND
JH605025:9387-11522 ; JH6050:9387-11522(+); OK
JH605028:c(168840-170975) ; ND ; ND
JH605030:c(117090-119225) ; JH6050:117090-119225(-); OK
JH605024:99478-101610 ; JH6050:99478-101610(+); OK
JH605028:c(143816-145948) ; ND ; ND
JH605029:141203-143335 ; JH6050:141203-143335(+); OK
JH605024:c(37673-39763) ; JH6050:37673-39763(-); OK
JH605024:c(549180-551306) ; JH6050:549180-551306(-); OK
JH605025:215308-217434 ; JH6050:215308-217434(+); OK
JH605026:c(378862-380988) ; ND ; ND
JH605025:c(614401-616515) ; JH6050:614401-616515(-); OK
JH605026:c(479361-481472) ; ND ; ND
JH605027:c(77061-79166) ; JH6050:77061-79166(-); OK
JH605028:311380-313482 ; JH6050:311380-313482(+); OK
JH605023:657853-659949 ; JH6050:657853-659949(+); OK
JH605024:126516-128612 ; JH6050:126516-128612(+); OK
JH605026:c(509467-511563) ; ND ; ND
JH605026:c(207096-209189) ; JH6050:207096-209189(-); OK
JH605024:561905-563995 ; JH6050:561896-563995(+); error - start (561905/561896)
JH605026:369445-371535 ; JH6050:369445-371535(+); OK
JH605031:c(43244-45334) ; JH6050:43244-45433(-); error - start (45334/45433)
JH605024:c(383149-385236) ; JH6050:383149-385236(-); OK
JH605023:918379-920463 ; JH6050:918379-920463(+); OK
JH605024:90418-92502 ; JH6050:90418-92502(+); OK
JH605024:c(473185-475269) ; JH6050:473185-475269(-); OK
JH605027:199013-201097 ; JH6050:200132-201049(+); error (199013/200132)(201097/201049)
JH605029:c(3638-5719) ; JH6050:3638-5719(-); OK
JH605023:166269-168338 ; ND ; ND
JH605024:552332-554401 ; JH6050:552446-554401(+); error - start (552332/552446)
JH605024:604023-606092 ; ND ; ND
JH605024:84058-86124 ; JH6050:84058-86124(+); OK
JH605025:169001-171067 ; JH6050:169001-171067(+); OK
JH605028:152555-154609 ; ND ; ND
JH605027:177947-179998 ; ND ; ND
JH605023:666105-668147 ; JH6050:666105-668147(+); OK
JH605026:434423-436465 ; JH6050:434423-436465(+); OK
JH605031:c(6564-8606) ; ND ; ND
JH605028:51196-53235 ; JH6050:51136-53235(+); error - start (51196/51136)
JH605023:c(534684-536720) ; ND ; ND
JH605025:242382-244418 ; ND ; ND
JH605026:256756-258792 ; ND ; ND
JH605026:374635-376671 ; JH6050:374635-376671(+); OK
JH605024:424268-426301 ; JH6050:424379-426301(+); error - start (424268/424379)
JH605026:116169-118187 ; ND ; ND
JH605023:c(854559-856574) ; JH6050:854559-856574(-); OK
JH605025:407602-409617 ; ND ; ND
JH605023:c(121059-123071) ; JH6050:121059-123071(-); OK
JH605026:c(66579-68588) ; JH6050:66579-68588(-); OK
JH605027:c(143954-145957) ; ND ; ND
JH605028:c(59472-61472) ; JH6050:59472-61403(-); error - start (61472/61403)
JH605030:72523-74520 ; JH6050:72523-74520(+); OK
JH605025:439828-441819 ; JH6050:439708-441819(+); error - start (439828/439708)
JH605029:105061-107052 ; ND ; ND
JH605023:600403-602391 ; JH6050:600403-601926(+); error - end (602391/601926)
JH605023:c(655612-657600) ; JH6050:655612-657600(-); OK
JH605024:541783-543771 ; JH6050:541783-543771(+); OK
JH605023:170786-172771 ; JH6050:170786-172771(+); OK
JH605025:519025-521010 ; JH6050:519025-521010(+); OK
JH605028:c(315413-317395) ; JH6050:315413-317395(-); OK
JH605023:c(250422-252395) ; JH6050:250422-252395(-); OK
JH605026:c(338087-340060) ; JH6050:338087-340060(-); OK
JH605027:c(137967-139940) ; ND ; ND
JH605023:c(757086-759056) ; JH6050:757086-759056(-); OK
JH605024:c(530858-532828) ; JH6050:530858-532828(-); OK
JH605024:c(282051-284018) ; JH6050:282051-284018(-); OK
JH605027:274584-276548 ; ND ; ND
JH605024:c(197726-199687) ; JH6050:197726-199687(-); OK
JH605023:912052-914010 ; JH6050:911770-914010(+); error - start (912052/911770)
JH605024:c(408363-410321) ; JH6050:408363-410321(-); OK
JH605025:c(63769-65724) ; JH6050:63769-65724(-); OK
JH605026:225435-227387 ; ND ; ND
JH605028:246603-248555 ; JH6050:246603-248555(+); OK
JH605023:c(440662-442608) ; JH6050:440662-442608(-); OK
JH605029:c(1-1941) ; ND ; ND
JH605023:c(551219-553159) ; JH6050:551219-553159(-); OK
JH605023:c(566624-568561) ; JH6050:566624-568489(-); error - start (568561/568489)
JH605023:c(75704-77638) ; ND ; ND
JH605024:c(568809-570740) ; ND ; ND
JH605024:575241-577172 ; JH6050:575241-577172(+); OK
JH605025:446611-448539 ; JH6050:446611-448539(+); OK
JH605024:c(252786-254711) ; JH6050:252786-254711(-); OK
JH605024:c(252786-254711) ; JH6050:279150-279413(+); error (252786/279150)(254711/279413)
JH605023:457441-459363 ; ND ; ND
JH605026:c(38752-40674) ; JH6050:38752-40674(-); OK
JH605025:107177-109093 ; ND ; ND
JH605023:248322-250235 ; JH6050:248322-250235(+); OK
JH605023:c(574209-576122) ; JH6050:574209-576122(-); OK
JH605025:448828-450741 ; JH6050:448828-450741(+); OK
JH605027:c(258667-260580) ; ND ; ND
JH605023:c(156323-158230) ; JH6050:156323-158230(-); OK
JH605027:313012-314919 ; JH6050:313012-314919(+); OK
JH605025:419558-421459 ; ND ; ND
JH605029:c(65990-67891) ; JH6050:65990-68110(-); error - start (67891/68110)
JH605024:c(693108-695006) ; ND ; ND
JH605026:404556-406454 ; JH6050:404556-406454(+); OK
JH605027:c(66455-68350) ; JH6050:66455-68350(-); OK
JH605029:c(82913-84808) ; ND ; ND
JH605024:503939-505831 ; JH6050:503939-505831(+); OK
JH605025:166862-168754 ; JH6050:166862-168754(+); OK
JH605028:82675-84564 ; JH6050:82675-84564(+); OK
JH605024:c(582330-584210) ; JH6050:582330-584210(-); OK
JH605023:c(926284-928161) ; JH6050:926284-928161(-); OK
JH605026:125018-126895 ; ND ; ND
JH605029:8541-10418 ; JH6050:8553-10418(+); error - start (8541/8553)
JH605028:c(218689-220563) ; JH6050:218689-220563(-); OK
JH605023:554294-556165 ; JH6050:554294-556131(+); error - end (556165/556131)
JH605026:c(127953-129824) ; ND ; ND
JH605027:c(117487-119358) ; ND ; ND
JH605024:c(202313-204169) ; JH6050:202313-204124(-); error - start (204169/204124)
JH605028:278529-280385 ; JH6050:278529-280385(+); OK
JH605025:c(251880-253730) ; ND ; ND
JH605024:335435-337279 ; JH6050:335435-337279(+); OK
JH605027:c(327254-329098) ; JH6050:327254-329098(-); OK
JH605028:c(251498-253342) ; JH6050:251498-253342(-); OK
JH605025:c(66537-68378) ; JH6050:66537-68378(-); OK
JH605025:c(538928-540769) ; ND ; ND
JH605023:c(478668-480500) ; JH6050:478668-480500(-); OK
JH605023:c(637306-639138) ; JH6050:637306-639138(-); OK
JH605025:646697-648529 ; ND ; ND
JH605027:c(34738-36570) ; JH6050:34738-36570(-); OK
JH605027:320450-322279 ; JH6050:320420-322279(+); error - start (320450/320420)
JH605023:c(700997-702823) ; ND ; ND
JH605023:c(284476-286299) ; JH6050:284476-286299(-); OK
JH605025:c(643466-645289) ; ND ; ND
JH605027:c(4736-6559) ; JH6050:4812-6559(-); error - end (4736/4812)
JH605029:111731-113554 ; ND ; ND
JH605024:c(481601-483421) ; JH6050:481601-483421(-); OK
JH605024:c(659425-661245) ; ND ; ND
JH605029:34791-36611 ; JH6050:34791-36611(+); OK
JH605023:812356-814170 ; JH6050:812356-814170(+); OK
JH605027:163398-165212 ; JH6050:163893-165212(+); error - start (163398/163893)
JH605023:c(296929-298737) ; JH6050:296929-298737(-); OK
JH605025:269878-271686 ; ND ; ND
JH605024:c(442993-444798) ; JH6050:442993-444798(-); OK
JH605024:c(613061-614866) ; ND ; ND
JH605029:c(122268-124073) ; ND ; ND
JH605023:c(211453-213255) ; JH6050:211453-213255(-); OK
JH605023:c(870899-872701) ; JH6050:870899-872701(-); OK
JH605026:c(118570-120366) ; ND ; ND
JH605028:c(30655-32451) ; JH6050:30655-32451(-); OK
JH605023:594286-596079 ; JH6050:594286-596079(+); OK
JH605025:c(591964-593757) ; JH6050:591964-593757(-); OK
JH605025:599036-600829 ; JH6050:599009-600829(+); error - start (599036/599009)
JH605026:504629-506419 ; ND ; ND
JH605024:460882-462666 ; JH6050:460882-462666(+); OK
JH605026:c(495478-497262) ; ND ; ND
